ticker,stage,reason
AAMI,filters,price 1.11 < 8.0
AAOI,filters,avg_vol_20d 393130 < 1000000
AAP,filters,price 4.84 < 8.0
AARD,filters,avg_vol_20d 15738 < 1000000
AAT,filters,avg_vol_20d 256368 < 1000000
ABAT,filters,avg_vol_20d 49040 < 1000000
ABCB,filters,adv20 27515131 < 30000000
ABEO,filters,price 7.04 < 8.0
ABG,filters,rvol 0.75 < 1.3
ABL,filters,rvol 0.88 < 1.3
ABM,filters,rvol 0.93 < 1.3
ABR,filters,avg_vol_20d 180461 < 1000000
ABSI,filters,avg_vol_20d 813201 < 1000000
ABUS,filters,avg_vol_20d 481929 < 1000000
ACA,filters,price 2.27 < 8.0
ACAD,filters,avg_vol_20d 40429 < 1000000
ACCO,filters,rvol 0.84 < 1.3
ACDC,filters,avg_vol_20d 75760 < 1000000
ACEL,filters,avg_vol_20d 828098 < 1000000
ACHR,filters,price 7.43 < 8.0
ACIW,filters,rvol 0.69 < 1.3
ACLS,setup,did_not_meet_breakout_or_reversal
ACLX,filters,rvol 0.71 < 1.3
ACMR,filters,avg_vol_20d 302542 < 1000000
ACNB,filters,avg_vol_20d 20846 < 1000000
ACNT,filters,avg_vol_20d 586907 < 1000000
ACR,filters,rvol 0.86 < 1.3
ACRE,filters,avg_vol_20d 337269 < 1000000
ACRS,filters,avg_vol_20d 480096 < 1000000
ACT,filters,rvol 0.70 < 1.3
ACTG,filters,rvol 0.77 < 1.3
ACTU,filters,price 2.57 < 8.0
ACU,filters,rvol 0.99 < 1.3
ACVA,filters,price 6.73 < 8.0
ADAM,filters,price 5.07 < 8.0
ADCT,filters,rvol 0.97 < 1.3
ADEA,filters,price 6.73 < 8.0
ADMA,filters,avg_vol_20d 121744 < 1000000
ADNT,filters,rvol 0.42 < 1.3
ADPT,filters,avg_vol_20d 977357 < 1000000
ADTN,filters,avg_vol_20d 13913 < 1000000
ADUS,setup,did_not_meet_breakout_or_reversal
ADV,filters,avg_vol_20d 266223 < 1000000
AEBI,filters,rvol 0.88 < 1.3
AEHR,filters,price 6.14 < 8.0
AEIS,filters,rvol 0.56 < 1.3
AEO,filters,price 2.27 < 8.0
AESI,filters,rvol 0.69 < 1.3
AEVA,filters,avg_vol_20d 732459 < 1000000
AEYE,filters,avg_vol_20d 105988 < 1000000
AFCG,filters,avg_vol_20d 166700 < 1000000
AFRI,filters,rvol 0.55 < 1.3
AGIO,filters,avg_vol_20d 359605 < 1000000
AGL,filters,rvol 0.98 < 1.3
AGM,filters,adv20 28818182 < 30000000
AGX,filters,rvol 0.89 < 1.3
AGYS,filters,avg_vol_20d 62340 < 1000000
AHCO,filters,rvol 0.95 < 1.3
AHL,filters,avg_vol_20d 26686 < 1000000
AHR,filters,rvol 0.73 < 1.3
AI,filters,adv20 23035901 < 30000000
AII,filters,price 5.01 < 8.0
AIN,filters,price 7.67 < 8.0
AIOT,filters,price 2.65 < 8.0
AIP,filters,rvol 1.22 < 1.3
AIR,filters,avg_vol_20d 364141 < 1000000
AIRJ,data,empty_or_short_history
AIRO,filters,adv20 24626128 < 30000000
AIRS,filters,avg_vol_20d 215359 < 1000000
AISP,filters,price 7.17 < 8.0
AIV,filters,adv20 14595354 < 30000000
AKBA,filters,avg_vol_20d 12268 < 1000000
AKR,filters,avg_vol_20d 14346 < 1000000
ALAB,filters,avg_vol_20d 52797 < 1000000
ALB,filters,avg_vol_20d 659615 < 1000000
ALCO,filters,avg_vol_20d 284029 < 1000000
ALDX,filters,avg_vol_20d 335430 < 1000000
ALEC,filters,avg_vol_20d 519692 < 1000000
ALEX,filters,avg_vol_20d 359605 < 1000000
ALG,filters,price 2.65 < 8.0
ALGT,filters,avg_vol_20d 236525 < 1000000
ALH,filters,avg_vol_20d 481287 < 1000000
ALHC,filters,avg_vol_20d 351921 < 1000000
ALIT,filters,avg_vol_20d 397643 < 1000000
ALKS,filters,rvol 0.77 < 1.3
ALKT,filters,rvol 0.42 < 1.3
ALLO,filters,rvol 1.21 < 1.3
ALMS,filters,rvol 1.08 < 1.3
ALMU,filters,avg_vol_20d 942752 < 1000000
ALNT,filters,rvol 0.78 < 1.3
ALRM,filters,avg_vol_20d 236801 < 1000000
ALRS,filters,adv20 10633319 < 30000000
ALT,filters,avg_vol_20d 744367 < 1000000
ALTG,filters,price 7.50 < 8.0
ALTI,filters,avg_vol_20d 258034 < 1000000
ALX,filters,avg_vol_20d 578326 < 1000000
AMAL,filters,rvol 1.07 < 1.3
AMBA,filters,adv20 12040354 < 30000000
AMBP,filters,rvol 0.49 < 1.3
AMBQ,filters,avg_vol_20d 25763 < 1000000
AMCX,filters,avg_vol_20d 828098 < 1000000
AMD,filters,price 5.07 < 8.0
AMLX,filters,rvol 0.65 < 1.3
AMN,filters,rvol 0.76 < 1.3
AMPH,filters,avg_vol_20d 833180 < 1000000
AMPL,filters,price 7.32 < 8.0
AMPX,filters,avg_vol_20d 172891 < 1000000
AMR,filters,rvol 0.59 < 1.3
AMRC,filters,avg_vol_20d 267553 < 1000000
AMRX,filters,rvol 0.56 < 1.3
AMSC,filters,avg_vol_20d 506369 < 1000000
