ticker,confluence_score,signal_count,conviction,thesis,signals
AMC,9.5,2,HIGH,Multi-factor alignment (2 signals),"pro30,weekly"
CNK,7.5,2,HIGH,Multi-factor alignment (2 signals),"pro30,weekly"
