Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Setup,Score,Is_Leveraged_ETF
WVE,21.31,3.35,6.94,92.4,1.93,191777529.0,8.49,8.0,1,1,202.27,Breakout,26.86,False
TERN,42.57,2.1,7.2,79.2,5.78,133064877.0,27.56,17.05,1,1,122.65,Breakout,25.28,False
