ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
CVCO,"Cavco Industries, Inc.",NASDAQ,Consumer Cyclical,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.41, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.8, 'rsi14': 59.02, 'above_ma10_ma20_ma50': True, 'ma10': 579.0, 'ma20': 570.27, 'ma50': 556.51, 'realized_vol_5d_ann_pct': 27.15}",586.6900024414062,5452883456,73117851.92047119,2025-12-03T00:00:00Z
DLTR,"Dollar Tree, Inc.",NASDAQ,Consumer Defensive,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.35, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.52, 'rsi14': 60.54, 'above_ma10_ma20_ma50': True, 'ma10': 105.86, 'ma20': 105.14, 'ma50': 99.29, 'realized_vol_5d_ann_pct': 36.42}",112.91999816894531,28123086848,369655339.5966339,2025-12-03T00:00:00Z
WYNN,"Wynn Resorts, Limited",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.97, 'rsi14': 60.42, 'above_ma10_ma20_ma50': True, 'ma10': 126.13, 'ma20': 124.87, 'ma50': 123.74, 'realized_vol_5d_ann_pct': 27.81}",131.52999877929688,12129902592,222730244.34238434,2025-12-03T00:00:00Z
CMC,Commercial Metals Company,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.12, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.79, 'rsi14': 66.4, 'above_ma10_ma20_ma50': True, 'ma10': 61.83, 'ma20': 60.37, 'ma50': 59.48, 'realized_vol_5d_ann_pct': 28.34}",65.86000061035156,8281955840,53373749.9187088,2025-12-03T00:00:00Z
SPHR,Sphere Entertainment Co.,NYSE,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.9, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.82, 'rsi14': 52.95, 'above_ma10_ma20_ma50': True, 'ma10': 80.23, 'ma20': 78.41, 'ma50': 69.31, 'realized_vol_5d_ann_pct': 26.97}",81.47000122070312,3527582720,69624453.74881744,2025-12-03T00:00:00Z
CRH,CRH plc,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.52, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.04, 'rsi14': 67.1, 'above_ma10_ma20_ma50': True, 'ma10': 115.69, 'ma20': 113.96, 'ma50': 116.23, 'realized_vol_5d_ann_pct': 26.32}",121.36000061035156,84680589312,483572223.40393066,2025-12-03T00:00:00Z
SBRA,"Sabra Health Care REIT, Inc.",NASDAQ,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.76, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.92, 'rsi14': 56.8, 'above_ma10_ma20_ma50': True, 'ma10': 19.02, 'ma20': 18.9, 'ma50': 18.4, 'realized_vol_5d_ann_pct': 21.85}",19.219999313354492,4838630912,59926441.69589996,2025-12-03T00:00:00Z
CRNX,"Crinetics Pharmaceuticals, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.39, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 67.22, 'above_ma10_ma20_ma50': True, 'ma10': 44.51, 'ma20': 43.45, 'ma50': 42.78, 'realized_vol_5d_ann_pct': 39.26}",46.97999954223633,5640201728,65740698.12778473,2025-12-03T00:00:00Z
ROK,"Rockwell Automation, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.12, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.67, 'rsi14': 53.54, 'above_ma10_ma20_ma50': True, 'ma10': 386.7, 'ma20': 382.32, 'ma50': 363.67, 'realized_vol_5d_ann_pct': 21.63}",400.3699951171875,46835167232,454851062.9255676,2025-12-03T00:00:00Z
CSX,CSX Corporation,NASDAQ,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.49, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.05, 'rsi14': 55.56, 'above_ma10_ma20_ma50': True, 'ma10': 34.76, 'ma20': 34.84, 'ma50': 35.34, 'realized_vol_5d_ann_pct': 24.55}",35.95000076293945,66386903040,465096537.1378708,2025-12-03T00:00:00Z
RL,Ralph Lauren Corporation,NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.24, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.05, 'rsi14': 60.12, 'above_ma10_ma20_ma50': True, 'ma10': 353.07, 'ma20': 340.63, 'ma50': 329.4, 'realized_vol_5d_ann_pct': 27.42}",358.1499938964844,22332133376,235449375.29052734,2025-12-03T00:00:00Z
DAL,"Delta Air Lines, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.56, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.09, 'rsi14': 68.34, 'above_ma10_ma20_ma50': True, 'ma10': 61.94, 'ma20': 60.13, 'ma50': 59.19, 'realized_vol_5d_ann_pct': 28.7}",67.48999786376953,45194813440,455682593.76234055,2025-12-03T00:00:00Z
PWR,"Quanta Services, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.86, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.78, 'rsi14': 52.92, 'above_ma10_ma20_ma50': True, 'ma10': 448.65, 'ma20': 444.95, 'ma50': 435.72, 'realized_vol_5d_ann_pct': 29.24}",456.0199890136719,65991233536,457846121.8928528,2025-12-03T00:00:00Z
PSX,Phillips 66,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.96, 'rsi14': 52.91, 'above_ma10_ma20_ma50': True, 'ma10': 135.66, 'ma20': 137.16, 'ma50': 135.03, 'realized_vol_5d_ann_pct': 22.97}",139.85000610351562,55767126016,298153091.62620544,2025-12-03T00:00:00Z
DVN,Devon Energy Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.06, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.95, 'rsi14': 67.13, 'above_ma10_ma20_ma50': True, 'ma10': 36.41, 'ma20': 35.44, 'ma50': 34.3, 'realized_vol_5d_ann_pct': 23.93}",37.689998626708984,23481253888,312524890.49907684,2025-12-03T00:00:00Z
EL,The Estée Lauder Companies Inc.,NYSE,Consumer Defensive,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.39, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.06, 'rsi14': 67.24, 'above_ma10_ma20_ma50': True, 'ma10': 93.19, 'ma20': 91.16, 'ma50': 92.74, 'realized_vol_5d_ann_pct': 30.42}",102.02999877929688,42702692352,350689277.8936386,2025-12-03T00:00:00Z
EQT,EQT Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.57, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.04, 'rsi14': 51.05, 'above_ma10_ma20_ma50': True, 'ma10': 58.67, 'ma20': 58.77, 'ma50': 56.2, 'realized_vol_5d_ann_pct': 52.11}",61.16999816894531,32320630784,472546858.4618759,2025-12-03T00:00:00Z
EXE,Expand Energy Corporation,NASDAQ,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.01, 'rsi14': 57.32, 'above_ma10_ma20_ma50': True, 'ma10': 118.22, 'ma20': 116.88, 'ma50': 109.66, 'realized_vol_5d_ann_pct': 47.0}",122.88999938964844,24591022080,376687824.11743164,2025-12-03T00:00:00Z
FIBK,"First Interstate BancSystem, Inc.",NASDAQ,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.69, 'resistance_level': None, 'volume_ratio_3d_to_20d': 3.31, 'rsi14': 55.61, 'above_ma10_ma20_ma50': True, 'ma10': 32.24, 'ma20': 31.91, 'ma50': 31.73, 'realized_vol_5d_ann_pct': 17.12}",33.33000183105469,3764473600,63938221.41034126,2025-12-03T00:00:00Z
PATH,UiPath Inc.,NYSE,Technology,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 20.7, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.51, 'rsi14': 57.38, 'above_ma10_ma20_ma50': True, 'ma10': 13.69, 'ma20': 13.9, 'ma50': 14.65, 'realized_vol_5d_ann_pct': 23.25}",14.859999656677246,8387549184,236556035.56582928,2025-12-03T00:00:00Z
GPOR,Gulfport Energy Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.59, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.93, 'rsi14': 56.72, 'above_ma10_ma20_ma50': True, 'ma10': 213.42, 'ma20': 210.11, 'ma50': 194.16, 'realized_vol_5d_ann_pct': 45.98}",217.6699981689453,3454040576,55790358.900146484,2025-12-03T00:00:00Z
NU,Nu Holdings Ltd.,NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.24, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.79, 'rsi14': 64.13, 'above_ma10_ma20_ma50': True, 'ma10': 16.66, 'ma20': 16.27, 'ma50': 15.83, 'realized_vol_5d_ann_pct': 27.88}",17.440000534057617,80461750272,660005485.075283,2025-12-03T00:00:00Z
GSAT,"Globalstar, Inc.",NASDAQ,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.55, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.68, 'rsi14': 51.9, 'above_ma10_ma20_ma50': True, 'ma10': 60.2, 'ma20': 58.97, 'ma50': 49.42, 'realized_vol_5d_ann_pct': 48.38}",65.16000366210938,8172199424,62776052.986774445,2025-12-03T00:00:00Z
