ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
YELP,Yelp Inc.,NYSE,Communication Services,8.65,"{'dist_to_52w_high_pct': 0.48, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.87, 'rsi14': 61.25, 'ma10': 14.0, 'ma20': 13.89, 'ma50': 13.72, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 40.38, 'breakout': {'score': 4.0, 'donchian20_prev': 14.36, 'donchian55_prev': 14.5, 'atr14': 0.3536, 'vol_ratio_3_20': 0.8704, 'breakout_strength_atr': 0.198, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.45, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.71, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,14.430000305175781,1339408256,1019372059.952446,2026-02-25T00:00:00Z
ARHS,"Arhaus, Inc.",NASDAQ,Consumer Cyclical,8.65,"{'dist_to_52w_high_pct': 0.48, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.87, 'rsi14': 61.25, 'ma10': 14.0, 'ma20': 13.89, 'ma50': 13.72, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 40.38, 'breakout': {'score': 4.0, 'donchian20_prev': 14.36, 'donchian55_prev': 14.5, 'atr14': 0.3536, 'vol_ratio_3_20': 0.8704, 'breakout_strength_atr': 0.198, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.45, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.71, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,14.430000305175781,1182112256,1019372059.952446,2026-02-25T00:00:00Z
MOFG,"MidWestOne Financial Group, Inc.",NASDAQ,Financial Services,8.65,"{'dist_to_52w_high_pct': 0.48, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.87, 'rsi14': 61.25, 'ma10': 14.0, 'ma20': 13.89, 'ma50': 13.72, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 40.38, 'breakout': {'score': 4.0, 'donchian20_prev': 14.36, 'donchian55_prev': 14.5, 'atr14': 0.3536, 'vol_ratio_3_20': 0.8704, 'breakout_strength_atr': 0.198, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.45, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.71, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,14.430000305175781,1017475776,1019372059.952446,2026-02-25T00:00:00Z
AVPT,"AvePoint, Inc.",NASDAQ,Technology,8.45,"{'dist_to_52w_high_pct': 8.27, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 2.02, 'rsi14': 65.87, 'ma10': 79.58, 'ma20': 78.11, 'ma50': 77.62, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 41.2, 'breakout': {'score': 2.0, 'donchian20_prev': 89.29, 'donchian55_prev': 89.29, 'atr14': 3.0939, 'vol_ratio_3_20': 2.0189, 'breakout_strength_atr': -2.3853, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.78, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.32, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,81.91000366210938,2207524608,124345457.8312439,2026-02-25T00:00:00Z
ORLY,"O'Reilly Automotive, Inc.",NASDAQ,Consumer Cyclical,8.45,"{'dist_to_52w_high_pct': 8.27, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 2.02, 'rsi14': 65.87, 'ma10': 79.58, 'ma20': 78.11, 'ma50': 77.62, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 41.2, 'breakout': {'score': 2.0, 'donchian20_prev': 89.29, 'donchian55_prev': 89.29, 'atr14': 3.0939, 'vol_ratio_3_20': 2.0189, 'breakout_strength_atr': -2.3853, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.78, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.32, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,81.91000366210938,77184876544,124345457.8312439,2026-02-25T00:00:00Z
NVRI,Enviri Corporation,NYSE,Industrials,8.25,"{'dist_to_52w_high_pct': 2.13, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.91, 'rsi14': 54.48, 'ma10': 115.29, 'ma20': 112.65, 'ma50': 106.55, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 28.9, 'breakout': {'score': 0.0, 'donchian20_prev': 118.98, 'donchian55_prev': 118.98, 'atr14': 3.3471, 'vol_ratio_3_20': 0.9149, 'breakout_strength_atr': -0.7589, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.87, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.23, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,116.44000244140625,1440468096,714609296.7702363,2026-02-25T00:00:00Z
NAT,Nordic American Tankers Limited,NYSE,Energy,8.25,"{'dist_to_52w_high_pct': 2.88, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.64, 'rsi14': 57.66, 'ma10': 232.89, 'ma20': 230.74, 'ma50': 218.51, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 24.21, 'breakout': {'score': 0.0, 'donchian20_prev': 239.94, 'donchian55_prev': 239.94, 'atr14': 4.7904, 'vol_ratio_3_20': 0.6436, 'breakout_strength_atr': -1.4446, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.06, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.27, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,233.02000427246094,1067223296,323815291.4458588,2026-02-25T00:00:00Z
RNA,"Avidity Biosciences, Inc.",NGM,Healthcare,8.25,"{'dist_to_52w_high_pct': 3.1, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.87, 'rsi14': 61.54, 'ma10': 371.84, 'ma20': 361.55, 'ma50': 362.86, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 49.32, 'breakout': {'score': 0.0, 'donchian20_prev': 389.15, 'donchian55_prev': 389.15, 'atr14': 14.3448, 'vol_ratio_3_20': 0.8654, 'breakout_strength_atr': -0.8421, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.8, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.07, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,377.07000732421875,11246061568,270418223.1486206,2026-02-25T00:00:00Z
IRON,"Disc Medicine, Inc.",NGM,Healthcare,8.25,"{'dist_to_52w_high_pct': 2.88, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.64, 'rsi14': 57.66, 'ma10': 232.89, 'ma20': 230.74, 'ma50': 218.51, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 24.21, 'breakout': {'score': 0.0, 'donchian20_prev': 239.94, 'donchian55_prev': 239.94, 'atr14': 4.7904, 'vol_ratio_3_20': 0.6436, 'breakout_strength_atr': -1.4446, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.06, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.27, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,233.02000427246094,2525108224,323815291.4458588,2026-02-25T00:00:00Z
SPNT,SiriusPoint Ltd.,NYSE,Financial Services,8.25,"{'dist_to_52w_high_pct': 2.88, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.64, 'rsi14': 57.66, 'ma10': 232.89, 'ma20': 230.74, 'ma50': 218.51, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 24.21, 'breakout': {'score': 0.0, 'donchian20_prev': 239.94, 'donchian55_prev': 239.94, 'atr14': 4.7904, 'vol_ratio_3_20': 0.6436, 'breakout_strength_atr': -1.4446, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.06, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.27, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,233.02000427246094,2482311168,323815291.4458588,2026-02-25T00:00:00Z
