Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
CNK,79.12,3.68,5.94,29.4,59.12,227634447.0,93.44,107.55,0,0,-23.81,-12.63,Reversal,26.9,False
NVDA,191.5,1.96,5.37,20.5,41.21,1631149473.0,231.83,257.91,0,0,-30.57,-14.36,Reversal,21.94,False
RMNI,18.21,2.02,4.59,32.8,38.38,419828509.0,19.05,20.76,0,0,-5.99,-0.76,Reversal,20.75,False
DXPE,65.46,2.55,4.45,28.0,22.39,90356521.0,69.95,73.55,0,0,-6.46,-6.66,Reversal,20.08,False
MGY,65.46,2.55,4.45,28.0,22.39,90356521.0,69.95,73.55,0,0,-6.46,-6.66,Reversal,20.08,False
ASTI,65.46,2.55,4.45,28.0,22.39,90356521.0,69.95,73.55,0,0,-6.46,-6.66,Reversal,20.08,False
EXTR,65.46,2.55,4.45,28.0,22.39,90356521.0,69.95,73.55,0,0,-6.46,-6.66,Reversal,20.08,False
KGS,302.18,1.96,3.98,90.2,2.21,407920068.0,238.07,220.41,1,1,38.73,26.0,Breakout,20.03,False
