Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Setup,Score,Is_Leveraged_ETF,Ret5d%
LQDA,36.6,2.04,6.84,56.6,6.54,55987083.0,33.97,31.36,1,1,12.3,Breakout,25.22,False,
SLNO,41.54,2.27,6.48,30.0,54.01,71721727.0,47.25,49.39,0,0,-16.06,Reversal,24.92,False,-8.14
