ticker,stage,reason
EBAY,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
AMN,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
AVD,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
FIBK,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
RELL,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
EG,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
ACVA,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
AVNW,filters,"$ADV20 $27,742,067 < $30,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
CRDF,filters,"Price $1.98 < $5.00; $ADV20 $1,415,227 < $30,000,000"
AIN,filters,"Price $1.98 < $5.00; $ADV20 $1,415,227 < $30,000,000"
RDVT,filters,"Price $1.98 < $5.00; $ADV20 $1,415,227 < $30,000,000"
CWK,filters,"$ADV20 $4,488,615 < $30,000,000"
CCB,scoring,tech_score_below_min_5.5
FWRG,filters,"$ADV20 $16,683,588 < $30,000,000"
DGICA,filters,"$ADV20 $29,441,715 < $30,000,000"
EWCZ,filters,"$ADV20 $29,441,715 < $30,000,000"
Q,filters,"$ADV20 $8,538,379 < $30,000,000"
BMI,scoring,tech_score_below_min_5.5
CWST,scoring,tech_score_below_min_5.5
TSN,scoring,tech_score_below_min_5.5
CSGS,filters,"$ADV20 $26,809,497 < $30,000,000"
TALO,filters,"$ADV20 $26,809,497 < $30,000,000"
TR,filters,"$ADV20 $26,809,497 < $30,000,000"
SI,scoring,tech_score_below_min_5.5
MRNA,filters,"$ADV20 $762,032 < $30,000,000"
RBB,filters,"$ADV20 $762,032 < $30,000,000"
GSBC,filters,"$ADV20 $1,647,612 < $30,000,000"
SEZL,filters,"$ADV20 $4,706,814 < $30,000,000"
CELC,filters,"$ADV20 $4,706,814 < $30,000,000"
LIN,scoring,tech_score_below_min_5.5
VABK,filters,"$ADV20 $384,231 < $30,000,000"
ARCT,filters,"$ADV20 $384,231 < $30,000,000"
GDEN,scoring,tech_score_below_min_5.5
CRWD,scoring,tech_score_below_min_5.5
PLAY,scoring,tech_score_below_min_5.5
ROL,scoring,tech_score_below_min_5.5
