Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
OPCH,35.27,5.64,8.03,69.5,1.92,35271620.0,31.54,29.78,1,1,12.9,2.23,Breakout,32.1,False
JOE,11.51,3.92,5.98,59.1,7.18,87059682.0,10.54,9.35,1,1,18.42,11.64,Breakout,25.88,False
SVV,99.71,1.35,9.47,80.1,9.35,551955998.0,57.27,45.59,1,1,116.2,71.56,Breakout,24.81,False
GRNT,99.71,1.35,9.47,80.1,9.35,551955998.0,57.27,45.59,1,1,116.2,71.56,Breakout,24.81,False
SGHC,274.86,1.4,7.61,67.1,8.44,1819024661.0,241.78,214.38,1,1,19.93,2.6,Breakout,23.0,False
TITN,44.8,1.97,5.61,76.4,0.72,116410872.0,35.72,32.5,1,1,30.01,28.04,Breakout,21.06,False
CASS,44.8,1.97,5.61,76.4,0.72,116410872.0,35.72,32.5,1,1,30.01,28.04,Breakout,21.06,False
AHL,49.68,1.81,5.32,67.6,1.0,49047165.0,42.55,38.95,1,1,26.57,28.94,Breakout,20.76,False
RNA,49.68,1.81,5.32,67.6,1.0,49047165.0,42.55,38.95,1,1,26.57,28.94,Breakout,20.76,False
ALKT,47.24,1.37,4.37,72.7,2.6,50363903.0,42.12,39.95,1,1,24.12,16.44,Breakout,18.25,False
BH,47.24,1.37,4.37,72.7,2.6,50363903.0,42.12,39.95,1,1,24.12,16.44,Breakout,18.25,False
PCH,47.24,1.37,4.37,72.7,2.6,50363903.0,42.12,39.95,1,1,24.12,16.44,Breakout,18.25,False
LILAK,47.24,1.37,4.37,72.7,2.6,50363903.0,42.12,39.95,1,1,24.12,16.44,Breakout,18.25,False
MBC,47.24,1.37,4.37,72.7,2.6,50363903.0,42.12,39.95,1,1,24.12,16.44,Breakout,18.25,False
CSW,213.52,2.45,2.54,76.4,1.51,544484066.0,198.35,191.55,1,1,11.72,5.95,Breakout,17.7,False
