Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
CAC,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
INOD,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
NPWR,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
DEC,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
KREF,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
WEYS,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
SGRY,62.95,1.37,6.57,77.4,0.05,87649854.0,52.59,45.36,1,1,36.91,13.06,Breakout,23.16,False
CWCO,97.75,1.49,5.98,64.8,8.68,137088657.0,89.37,75.17,1,1,34.73,5.93,Breakout,23.0,False
DERM,97.75,1.49,5.98,64.8,8.68,137088657.0,89.37,75.17,1,1,34.73,5.93,Breakout,23.0,False
GSAT,35.67,1.39,6.37,76.1,0.83,58052768.0,29.66,29.37,1,1,3.78,18.31,Breakout,22.97,False
USAU,35.67,1.39,6.37,76.1,0.83,58052768.0,29.66,29.37,1,1,3.78,18.31,Breakout,22.97,False
EVCM,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
GLNG,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
TRST,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
SPXC,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
