Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
BDC,23.63,5.34,8.46,34.1,64.65,45312721.0,28.05,30.48,0,0,-21.29,-11.7,Reversal,33.5,False
CRML,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
OVLY,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
GRBK,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
INTA,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
INOD,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
CAC,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
NPWR,11.19,5.12,6.07,86.2,6.52,43797703.0,8.93,8.19,1,1,21.24,21.24,Breakout,29.37,False
DEC,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
WEYS,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
KREF,12.47,2.88,4.48,75.3,1.5,36401012.0,10.85,11.37,1,1,10.45,12.24,Breakout,23.34,False
SGRY,62.95,1.37,6.57,77.4,0.05,87649854.0,52.59,45.36,1,1,36.91,13.06,Breakout,23.16,False
CWCO,97.75,1.49,5.98,64.8,8.68,137088657.0,89.37,75.17,1,1,34.73,5.93,Breakout,23.0,False
DERM,97.75,1.49,5.98,64.8,8.68,137088657.0,89.37,75.17,1,1,34.73,5.93,Breakout,23.0,False
GSAT,35.67,1.39,6.37,76.1,0.83,58052768.0,29.66,29.37,1,1,3.78,18.31,Breakout,22.97,False
USAU,35.67,1.39,6.37,76.1,0.83,58052768.0,29.66,29.37,1,1,3.78,18.31,Breakout,22.97,False
PRCH,200.1,1.61,7.36,34.2,30.03,692438132.0,228.39,243.88,0,0,-19.77,-14.23,Reversal,22.87,False
SPXC,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
TRST,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
EVCM,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
GLNG,116.0,3.03,3.38,61.5,2.53,232398570.0,108.63,103.62,1,1,12.23,5.87,Breakout,22.71,False
RLJ,125.15,2.13,3.9,29.0,24.29,341313910.0,140.78,140.81,0,0,-20.63,-8.72,Reversal,18.62,False
CHRS,125.15,2.13,3.9,29.0,24.29,341313910.0,140.78,140.81,0,0,-20.63,-8.72,Reversal,18.62,False
BIDU,51.56,2.06,4.68,34.3,12.98,59502847.0,57.09,52.66,0,0,-5.91,-12.25,Reversal,18.18,False
ARL,120.97,2.34,3.24,31.4,24.52,298820568.0,127.86,135.26,0,0,-9.64,-4.25,Reversal,18.05,False
