Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
BDC,23.63,5.34,8.46,34.1,64.65,45312721.0,28.05,30.48,0,0,-21.29,-11.7,Reversal,33.5,False
OVLY,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
GRBK,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
CRML,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
INTA,8.61,1.44,11.29,20.8,56.16,33417321.0,12.15,11.78,0,0,-37.88,-28.19,Reversal,29.78,False
PRCH,200.1,1.61,7.36,34.2,30.03,692438132.0,228.39,243.88,0,0,-19.77,-14.23,Reversal,22.87,False
RLJ,125.15,2.13,3.9,29.0,24.29,341313910.0,140.78,140.81,0,0,-20.63,-8.72,Reversal,18.62,False
CHRS,125.15,2.13,3.9,29.0,24.29,341313910.0,140.78,140.81,0,0,-20.63,-8.72,Reversal,18.62,False
BIDU,51.56,2.06,4.68,34.3,12.98,59502847.0,57.09,52.66,0,0,-5.91,-12.25,Reversal,18.18,False
ARL,120.97,2.34,3.24,31.4,24.52,298820568.0,127.86,135.26,0,0,-9.64,-4.25,Reversal,18.05,False
APAM,120.97,2.34,3.24,31.4,24.52,298820568.0,127.86,135.26,0,0,-9.64,-4.25,Reversal,18.05,False
HOV,120.97,2.34,3.24,31.4,24.52,298820568.0,127.86,135.26,0,0,-9.64,-4.25,Reversal,18.05,False
