ticker,name,exchange,sector,technical_score,swing_score,swing_signal,swing_regime,signal_reason,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc,rsi14,atr_pct,vol_ratio_3_20,dist_52w_high_pct
EPAM,"EPAM Systems, Inc.",NYSE,Technology,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 4.5, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.94, 'rsi14': 50.43, 'ma10': 211.04, 'ma20': 210.03, 'ma50': 195.22, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 27.05, 'breakout': {'score': 0.0, 'donchian20_prev': 221.99, 'donchian55_prev': 221.99, 'atr14': 6.0256, 'vol_ratio_3_20': 0.941, 'breakout_strength_atr': -1.6596, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.84, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -1.03, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 171.59}",0.0,0.25,211.99,12153623552,147398587.402,2026-01-13T00:00:00Z,50.43271311120728,2.842418442918465,0.9409952237756259,4.504707419253119
CRH,CRH plc,NYSE,Basic Materials,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 3.17, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.39, 'rsi14': 51.97, 'ma10': 127.19, 'ma20': 126.87, 'ma50': 120.81, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 62.47, 'breakout': {'score': 0.0, 'donchian20_prev': 131.55, 'donchian55_prev': 131.55, 'atr14': 2.9975, 'vol_ratio_3_20': 0.3896, 'breakout_strength_atr': -1.3912, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.35, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.49, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 106.18}",0.0,0.25,127.38,82117812224,1555248543.312,2026-01-13T00:00:00Z,51.971447994561515,2.353195164075992,0.38960170471569927,3.169897377423045
APGE,"Apogee Therapeutics, Inc.",NGM,Healthcare,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.46, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.82, 'rsi14': 54.45, 'ma10': 77.39, 'ma20': 77.2, 'ma50': 70.68, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 22.05, 'breakout': {'score': 0.0, 'donchian20_prev': 80.99, 'donchian55_prev': 80.99, 'atr14': 3.3308, 'vol_ratio_3_20': 0.8163, 'breakout_strength_atr': -0.5975, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.22, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.23, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 47.67}",0.0,0.25,79.0,4783782400,79020133.6355,2026-01-13T00:00:00Z,54.44839857651245,4.216157323688968,0.8162642213637867,2.4570934683294174
IVZ,Invesco Ltd.,NYSE,Financial Services,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.58, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.24, 'rsi14': 58.92, 'ma10': 27.77, 'ma20': 27.25, 'ma50': 25.47, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 27.99, 'breakout': {'score': 0.0, 'donchian20_prev': 29.05, 'donchian55_prev': 29.05, 'atr14': 0.6167, 'vol_ratio_3_20': 1.2403, 'breakout_strength_atr': -1.2161, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.18, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.08, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 20.19}",0.0,0.25,28.3,12665370624,132094968.9835,2026-01-13T00:00:00Z,58.92193308550186,2.179202423018679,1.2402745555129084,2.5817555938037864
MTB,M&T Bank Corporation,NYSE,Financial Services,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.94, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.11, 'rsi14': 54.3, 'ma10': 208.54, 'ma20': 207.11, 'ma50': 196.62, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.02, 'breakout': {'score': 0.0, 'donchian20_prev': 215.49, 'donchian55_prev': 215.49, 'atr14': 3.912, 'vol_ratio_3_20': 1.113, 'breakout_strength_atr': -1.6181, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.87, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.55, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 188.8}",0.0,0.25,209.16,33413502976,214007762.232,2026-01-13T00:00:00Z,54.30147058823529,1.870345326885772,1.1130107918559344,2.9374912989001865
NUE,Nucor Corporation,NYSE,Basic Materials,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 1.43, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.0, 'rsi14': 57.99, 'ma10': 166.67, 'ma20': 164.7, 'ma50': 157.9, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 38.0, 'breakout': {'score': 0.0, 'donchian20_prev': 171.94, 'donchian55_prev': 171.94, 'atr14': 4.0707, 'vol_ratio_3_20': 1.0044, 'breakout_strength_atr': -0.6043, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.4, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.03, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 137.52}",0.0,0.25,169.48,41572171776,266539371.01199993,2026-01-13T00:00:00Z,57.98653610771116,2.401876327590275,1.004352978523421,1.4307316505757868
GM,General Motors Company,NYSE,Consumer Cyclical,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.28, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.01, 'rsi14': 50.88, 'ma10': 82.6, 'ma20': 82.42, 'ma50': 76.37, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 37.56, 'breakout': {'score': 0.0, 'donchian20_prev': 85.18, 'donchian55_prev': 85.18, 'atr14': 1.6936, 'vol_ratio_3_20': 1.0067, 'breakout_strength_atr': -1.1455, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.03, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.63, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 58.87}",0.0,0.25,83.24,75861557248,693649754.792,2026-01-13T00:00:00Z,50.88013411567474,2.0345644264433314,1.0066650669737476,2.2775299366048505
EIX,Edison International,NYSE,Utilities,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 1.16, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.74, 'rsi14': 50.25, 'ma10': 60.22, 'ma20': 59.99, 'ma50': 58.56, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 39.44, 'breakout': {'score': 0.0, 'donchian20_prev': 61.39, 'donchian55_prev': 61.39, 'atr14': 1.2128, 'vol_ratio_3_20': 0.7395, 'breakout_strength_atr': -0.5854, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.0, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.14, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 55.61}",0.0,0.25,60.68,23386363904,189096317.9575,2026-01-13T00:00:00Z,50.25075225677029,1.9986227516715318,0.7394931541348462,1.156540153119402
DY,"Dycom Industries, Inc.",NYSE,Industrials,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.66, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.42, 'rsi14': 57.73, 'ma10': 346.26, 'ma20': 346.13, 'ma50': 331.77, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 45.24, 'breakout': {'score': 0.0, 'donchian20_prev': 366.65, 'donchian55_prev': 366.65, 'atr14': 9.3845, 'vol_ratio_3_20': 0.4174, 'breakout_strength_atr': -1.0389, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.63, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.72, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 261.31}",0.0,0.25,356.9,11034192896,187632436.26000002,2026-01-13T00:00:00Z,57.729354176535594,2.629458031461392,0.41742900364569346,2.6592117823537436
DVN,Devon Energy Corporation,NYSE,Energy,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 4.25, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.89, 'rsi14': 52.08, 'ma10': 36.26, 'ma20': 36.16, 'ma50': 35.87, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 54.3, 'breakout': {'score': 0.0, 'donchian20_prev': 38.285, 'donchian55_prev': 38.475, 'atr14': 1.1289, 'vol_ratio_3_20': 0.8878, 'breakout_strength_atr': -1.28, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.06, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.86, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 33.75}",0.0,0.25,36.84,24528670720,295536452.117,2026-01-13T00:00:00Z,52.08121827411169,3.0644485807352266,0.8878002053262757,4.249512670565297
