ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
SBRA,"Sabra Health Care REIT, Inc.",NASDAQ,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.46, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 53.94, 'above_ma10_ma20_ma50': True, 'ma10': 18.9, 'ma20': 18.76, 'ma50': 18.37, 'realized_vol_5d_ann_pct': 22.71}",19.280000686645508,4848604672,61344092.259578705,2025-12-01T00:00:00Z
PARR,"Par Pacific Holdings, Inc.",NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.48, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.61, 'rsi14': 60.67, 'above_ma10_ma20_ma50': True, 'ma10': 44.92, 'ma20': 43.2, 'ma50': 39.36, 'realized_vol_5d_ann_pct': 23.52}",47.20000076293945,1928925568,58988914.636859894,2025-12-01T00:00:00Z
RL,Ralph Lauren Corporation,NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.17, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.81, 'rsi14': 68.6, 'above_ma10_ma20_ma50': True, 'ma10': 346.9, 'ma20': 336.14, 'ma50': 327.49, 'realized_vol_5d_ann_pct': 34.94}",365.8800048828125,22369126400,236539235.43792725,2025-12-01T00:00:00Z
RIG,Transocean Ltd.,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.12, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.74, 'rsi14': 55.81, 'above_ma10_ma20_ma50': True, 'ma10': 4.12, 'ma20': 4.07, 'ma50': 3.69, 'realized_vol_5d_ann_pct': 44.87}",4.349999904632568,4736197120,161133153.28148246,2025-12-01T00:00:00Z
PWR,"Quanta Services, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.66, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.73, 'rsi14': 50.83, 'above_ma10_ma20_ma50': True, 'ma10': 444.19, 'ma20': 443.88, 'ma50': 433.22, 'realized_vol_5d_ann_pct': 35.14}",452.2300109863281,66055356416,458744883.5940552,2025-12-01T00:00:00Z
EQT,EQT Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.21, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.79, 'rsi14': 56.04, 'above_ma10_ma20_ma50': True, 'ma10': 58.47, 'ma20': 58.37, 'ma50': 55.83, 'realized_vol_5d_ann_pct': 36.43}",60.52000045776367,32139649024,460834413.256073,2025-12-01T00:00:00Z
EXE,Expand Energy Corporation,NASDAQ,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.43, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.75, 'rsi14': 67.74, 'above_ma10_ma20_ma50': True, 'ma10': 117.57, 'ma20': 115.86, 'ma50': 108.83, 'realized_vol_5d_ann_pct': 23.14}",121.58000183105469,24452882432,396667108.1968689,2025-12-01T00:00:00Z
BTSG,"BrightSpring Health Services, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.77, 'rsi14': 62.82, 'above_ma10_ma20_ma50': True, 'ma10': 34.25, 'ma20': 33.57, 'ma50': 31.52, 'realized_vol_5d_ann_pct': 25.43}",35.900001525878906,6954384896,75300962.8368187,2025-12-01T00:00:00Z
WYNN,"Wynn Resorts, Limited",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.45, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.02, 'rsi14': 55.85, 'above_ma10_ma20_ma50': True, 'ma10': 123.51, 'ma20': 123.99, 'ma50': 123.52, 'realized_vol_5d_ann_pct': 26.82}",132.77000427246094,12098708480,229179995.24730682,2025-12-01T00:00:00Z
BOOT,"Boot Barn Holdings, Inc.",NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.96, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.9, 'rsi14': 58.05, 'above_ma10_ma20_ma50': True, 'ma10': 183.82, 'ma20': 183.68, 'ma50': 181.04, 'realized_vol_5d_ann_pct': 44.48}",195.1199951171875,6006471680,88461944.00428772,2025-12-01T00:00:00Z
BG,Bunge Global SA,NYSE,Consumer Defensive,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.14, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.66, 'rsi14': 53.92, 'above_ma10_ma20_ma50': True, 'ma10': 94.96, 'ma20': 95.17, 'ma50': 90.7, 'realized_vol_5d_ann_pct': 26.44}",96.41999816894531,19646449664,150192815.86265564,2025-12-01T00:00:00Z
MDGL,"Madrigal Pharmaceuticals, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.22, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.5, 'rsi14': 69.56, 'above_ma10_ma20_ma50': True, 'ma10': 571.55, 'ma20': 531.83, 'ma50': 473.09, 'realized_vol_5d_ann_pct': 60.49}",579.4500122070312,11299159040,229615640.64331055,2025-12-01T00:00:00Z
WGS,GeneDx Holdings Corp.,NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.18, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.7, 'rsi14': 65.94, 'above_ma10_ma20_ma50': True, 'ma10': 149.55, 'ma20': 143.3, 'ma50': 130.72, 'realized_vol_5d_ann_pct': 76.7}",163.61000061035156,3134847488,73851778.16513062,2025-12-01T00:00:00Z
