ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
MAZE,"Maze Therapeutics, Inc.",NGM,Healthcare,9.45,"{'dist_to_52w_high_pct': 2.14, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.59, 'rsi14': 67.97, 'ma10': 45.3, 'ma20': 44.94, 'ma50': 44.17, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 49.67, 'breakout': {'score': 2.0, 'donchian20_prev': 48.72, 'donchian55_prev': 48.72, 'atr14': 1.2154, 'vol_ratio_3_20': 1.59, 'breakout_strength_atr': -0.5595, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.53, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 3.66, 'extension_adj': -1.0, 'extension_note': 'extended_move_penalty'}, 'data_gaps': []}",2.0,-0.75,48.040000915527344,2260170240,426437014.67205846,2026-02-17T00:00:00Z
SLND,"Southland Holdings, Inc.",ASE,Industrials,9.45,"{'dist_to_52w_high_pct': 2.14, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.59, 'rsi14': 67.97, 'ma10': 45.3, 'ma20': 44.94, 'ma50': 44.17, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 49.67, 'breakout': {'score': 2.0, 'donchian20_prev': 48.72, 'donchian55_prev': 48.72, 'atr14': 1.2154, 'vol_ratio_3_20': 1.59, 'breakout_strength_atr': -0.5595, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.53, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 3.66, 'extension_adj': -1.0, 'extension_note': 'extended_move_penalty'}, 'data_gaps': []}",2.0,-0.75,48.040000915527344,81169552,426437014.67205846,2026-02-17T00:00:00Z
POWI,"Power Integrations, Inc.",NASDAQ,Technology,8.65,"{'dist_to_52w_high_pct': 0.56, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.03, 'rsi14': 64.81, 'ma10': 274.2, 'ma20': 271.89, 'ma50': 262.0, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 38.64, 'breakout': {'score': 4.0, 'donchian20_prev': 283.13, 'donchian55_prev': 283.13, 'atr14': 8.0236, 'vol_ratio_3_20': 1.0297, 'breakout_strength_atr': 0.1334, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.82, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.42, 'extension_adj': 0.0}, 'data_gaps': []}",4.0,0.25,284.20001220703125,2538198016,255365782.18358764,2026-02-17T00:00:00Z
RPT,Rithm Property Trust Inc.,NYSE,Real Estate,8.45,"{'dist_to_52w_high_pct': 6.54, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.51, 'rsi14': 65.53, 'ma10': 5.65, 'ma20': 5.22, 'ma50': 4.6, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 118.63, 'breakout': {'score': 2.0, 'donchian20_prev': 6.57, 'donchian55_prev': 6.57, 'atr14': 0.425, 'vol_ratio_3_20': 1.5065, 'breakout_strength_atr': -1.0118, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 6.92, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.09, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,6.139999866485596,111303976,349161094.0906371,2026-02-17T00:00:00Z
MOD,Modine Manufacturing Company,NYSE,Consumer Cyclical,8.25,"{'dist_to_52w_high_pct': 3.28, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.98, 'rsi14': 53.06, 'ma10': 148.17, 'ma20': 146.94, 'ma50': 141.4, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 36.6, 'breakout': {'score': 0.0, 'donchian20_prev': 153.88, 'donchian55_prev': 154.75, 'atr14': 4.6014, 'vol_ratio_3_20': 0.9842, 'breakout_strength_atr': -0.9128, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.07, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.51, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,149.67999267578125,11434232832,418524782.4646698,2026-02-17T00:00:00Z
HON,Honeywell International Inc.,NASDAQ,Industrials,8.25,"{'dist_to_52w_high_pct': 2.02, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 68.88, 'ma10': 48.48, 'ma20': 46.04, 'ma50': 43.62, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 26.72, 'breakout': {'score': 0.0, 'donchian20_prev': 50.58, 'donchian55_prev': 50.58, 'atr14': 1.4614, 'vol_ratio_3_20': 0.7556, 'breakout_strength_atr': -0.6979, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.95, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.81, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,49.560001373291016,163514482688,341858719.27446043,2026-02-17T00:00:00Z
ILPT,Industrial Logistics Properties Trust,NASDAQ,Real Estate,8.25,"{'dist_to_52w_high_pct': 1.44, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.85, 'rsi14': 53.7, 'ma10': 198.75, 'ma20': 198.52, 'ma50': 189.94, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.65, 'breakout': {'score': 0.0, 'donchian20_prev': 206.48, 'donchian55_prev': 206.48, 'atr14': 5.3843, 'vol_ratio_3_20': 0.8546, 'breakout_strength_atr': -0.5535, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.65, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.41, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,203.5,367958976,1291694880.9031587,2026-02-17T00:00:00Z
CELC,Celcuity Inc.,NCM,Healthcare,8.25,"{'dist_to_52w_high_pct': 1.44, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.85, 'rsi14': 53.7, 'ma10': 198.75, 'ma20': 198.52, 'ma50': 189.94, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.65, 'breakout': {'score': 0.0, 'donchian20_prev': 206.48, 'donchian55_prev': 206.48, 'atr14': 5.3843, 'vol_ratio_3_20': 0.8546, 'breakout_strength_atr': -0.5535, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.65, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.41, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,203.5,4965831680,1291694880.9031587,2026-02-17T00:00:00Z
STT,State Street Corporation,NYSE,Financial Services,8.25,"{'dist_to_52w_high_pct': 3.65, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.92, 'rsi14': 59.61, 'ma10': 208.05, 'ma20': 204.76, 'ma50': 206.31, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 54.15, 'breakout': {'score': 0.0, 'donchian20_prev': 216.66, 'donchian55_prev': 218.11, 'atr14': 6.5907, 'vol_ratio_3_20': 0.9241, 'breakout_strength_atr': -0.9893, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.14, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.11, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,210.13999938964844,35751993344,174534132.7223091,2026-02-17T00:00:00Z
QUBT,Quantum Computing Inc.,NCM,Technology,8.25,"{'dist_to_52w_high_pct': 2.62, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.14, 'rsi14': 66.46, 'ma10': 922.75, 'ma20': 874.87, 'ma50': 842.01, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 45.02, 'breakout': {'score': 0.0, 'donchian20_prev': 971.93, 'donchian55_prev': 971.93, 'atr14': 36.6057, 'vol_ratio_3_20': 1.1371, 'breakout_strength_atr': -0.6955, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.87, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.43, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,946.469970703125,1804192512,773465713.3567749,2026-02-17T00:00:00Z
