ticker,stage,reason
AAMI,filters,avg_vol_20d 615631 < 1000000
AAOI,filters,rvol 1.54 < 1.8
AAP,filters,avg_vol_20d 497092 < 1000000
AARD,filters,rvol 0.77 < 1.8
AAT,filters,rvol 0.85 < 1.8
ABAT,filters,rvol 0.88 < 1.8
ABCB,filters,adv20 12294959 < 75000000
ABEO,filters,avg_vol_20d 201176 < 1000000
ABG,filters,avg_vol_20d 67660 < 1000000
ABL,filters,avg_vol_20d 294611 < 1000000
ABM,filters,avg_vol_20d 195310 < 1000000
ABR,filters,avg_vol_20d 117791 < 1000000
ABSI,filters,rvol 0.58 < 1.8
ABTC,filters,rvol 0.57 < 1.8
ABUS,filters,rvol 1.54 < 1.8
ACA,filters,price 4.02 < 8.0
ACAD,filters,adv20 27737207 < 75000000
ACCO,filters,atr_pct 3.25 < 3.5
ACDC,filters,avg_vol_20d 201176 < 1000000
ACEL,filters,avg_vol_20d 507633 < 1000000
ACHR,filters,avg_vol_20d 858963 < 1000000
ACIC,filters,rvol 1.04 < 1.8
ACIW,filters,price 6.88 < 8.0
ACLS,filters,avg_vol_20d 363036 < 1000000
ACLX,filters,avg_vol_20d 844249 < 1000000
ACMR,filters,avg_vol_20d 103421 < 1000000
ACNB,filters,adv20 36160310 < 75000000
ACNT,filters,adv20 48870759 < 75000000
ACR,filters,avg_vol_20d 542920 < 1000000
ACRE,filters,avg_vol_20d 162202 < 1000000
ACRS,filters,rvol 0.65 < 1.8
ACT,filters,avg_vol_20d 548504 < 1000000
ACTG,filters,rvol 0.56 < 1.8
ACTU,filters,rvol 0.59 < 1.8
ACU,filters,rvol 1.24 < 1.8
ACVA,filters,avg_vol_20d 40545 < 1000000
ADAM,filters,price 1.58 < 8.0
ADCT,filters,avg_vol_20d 141493 < 1000000
ADEA,filters,rvol 1.48 < 1.8
ADMA,filters,avg_vol_20d 60580 < 1000000
ADNT,filters,avg_vol_20d 539483 < 1000000
ADPT,filters,rvol 0.48 < 1.8
ADTN,filters,price 4.12 < 8.0
ADUS,filters,avg_vol_20d 159051 < 1000000
ADV,filters,avg_vol_20d 747422 < 1000000
AEBI,filters,avg_vol_20d 365206 < 1000000
AEHR,filters,rvol 0.46 < 1.8
AEIS,data,empty_or_short_history
AEO,filters,rvol 0.46 < 1.8
AESI,filters,atr_pct 3.48 < 3.5
AEVA,filters,avg_vol_20d 542871 < 1000000
AEYE,filters,rvol 0.86 < 1.8
AFCG,filters,avg_vol_20d 837909 < 1000000
AFRI,filters,price 3.53 < 8.0
AGIO,filters,avg_vol_20d 210354 < 1000000
AGL,filters,avg_vol_20d 167542 < 1000000
AGM,filters,avg_vol_20d 71972 < 1000000
AGX,filters,avg_vol_20d 200024 < 1000000
AGYS,filters,avg_vol_20d 59752 < 1000000
AHCO,filters,avg_vol_20d 159558 < 1000000
AHH,filters,price 4.12 < 8.0
AHL,filters,avg_vol_20d 354239 < 1000000
AHR,filters,adv20 11983606 < 75000000
AI,filters,avg_vol_20d 210111 < 1000000
AII,filters,avg_vol_20d 445075 < 1000000
AIN,filters,adv20 31146154 < 75000000
AIOT,filters,price 3.79 < 8.0
AIP,filters,avg_vol_20d 33257 < 1000000
AIR,filters,avg_vol_20d 581120 < 1000000
AIRJ,filters,avg_vol_20d 170911 < 1000000
AIRO,filters,rvol 0.50 < 1.8
AIRS,filters,price 6.55 < 8.0
AISP,filters,adv20 49635597 < 75000000
AIV,filters,price 7.26 < 8.0
AKBA,filters,price 6.41 < 8.0
AKR,filters,price 5.47 < 8.0
ALAB,filters,rvol 0.55 < 1.8
ALB,filters,avg_vol_20d 539483 < 1000000
ALCO,filters,rvol 0.54 < 1.8
ALDX,filters,avg_vol_20d 27112 < 1000000
ALEC,filters,rvol 0.62 < 1.8
ALEX,filters,avg_vol_20d 13722 < 1000000
ALG,filters,avg_vol_20d 743540 < 1000000
ALGT,filters,avg_vol_20d 118917 < 1000000
ALH,filters,avg_vol_20d 120318 < 1000000
