ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
IMAX,IMAX Corporation,NYSE,Communication Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.95, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.78, 'rsi14': 61.97, 'above_ma10_ma20_ma50': True, 'ma10': 36.23, 'ma20': 35.9, 'ma50': 33.86, 'realized_vol_5d_ann_pct': 105.95}",38.5,1853911296,60294983.448200226,2025-12-08T00:00:00Z
PTGX,"Protagonist Therapeutics, Inc.",NGM,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.22, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.29, 'rsi14': 64.47, 'above_ma10_ma20_ma50': True, 'ma10': 88.12, 'ma20': 86.33, 'ma50': 78.77, 'realized_vol_5d_ann_pct': 22.67}",90.25,5086274560,81716721.80763245,2025-12-08T00:00:00Z
LRCX,Lam Research Corporation,NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.64, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.82, 'rsi14': 65.32, 'above_ma10_ma20_ma50': True, 'ma10': 156.47, 'ma20': 153.75, 'ma50': 150.19, 'realized_vol_5d_ann_pct': 26.23}",162.74000549316406,270340112384,1673508048.5172272,2025-12-08T00:00:00Z
COO,"The Cooper Companies, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 22.15, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.91, 'rsi14': 66.45, 'above_ma10_ma20_ma50': True, 'ma10': 77.58, 'ma20': 74.85, 'ma50': 72.29, 'realized_vol_5d_ann_pct': 58.89}",78.04000091552734,16242689024,265622703.43906403,2025-12-08T00:00:00Z
CRNX,"Crinetics Pharmaceuticals, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.83, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.68, 'rsi14': 68.44, 'above_ma10_ma20_ma50': True, 'ma10': 45.89, 'ma20': 44.22, 'ma50': 43.27, 'realized_vol_5d_ann_pct': 36.13}",47.400001525878906,5567418368,57456775.43445587,2025-12-08T00:00:00Z
FIX,"Comfort Systems USA, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.55, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.92, 'rsi14': 61.97, 'above_ma10_ma20_ma50': True, 'ma10': 969.19, 'ma20': 947.12, 'ma50': 907.37, 'realized_vol_5d_ann_pct': 51.85}",989.47998046875,37861937152,526111693.911438,2025-12-08T00:00:00Z
CIEN,Ciena Corporation,NYSE,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.58, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.8, 'rsi14': 63.18, 'above_ma10_ma20_ma50': True, 'ma10': 200.26, 'ma20': 196.82, 'ma50': 181.35, 'realized_vol_5d_ann_pct': 59.05}",212.92999267578125,34758995968,698312425.8255768,2025-12-08T00:00:00Z
STX,Seagate Technology Holdings plc,NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.19, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.83, 'rsi14': 60.15, 'above_ma10_ma20_ma50': True, 'ma10': 268.97, 'ma20': 266.41, 'ma50': 249.7, 'realized_vol_5d_ann_pct': 51.24}",285.4100036621094,69379178496,888241424.0929413,2025-12-08T00:00:00Z
MYRG,MYR Group Inc.,NASDAQ,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.33, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.94, 'rsi14': 59.64, 'above_ma10_ma20_ma50': True, 'ma10': 222.07, 'ma20': 221.67, 'ma50': 215.83, 'realized_vol_5d_ann_pct': 33.42}",233.11000061035156,3627531008,53033403.5357666,2025-12-08T00:00:00Z
HAL,Halliburton Company,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.09, 'rsi14': 65.08, 'above_ma10_ma20_ma50': True, 'ma10': 26.87, 'ma20': 26.85, 'ma50': 25.76, 'realized_vol_5d_ann_pct': 22.13}",28.079999923706055,27803355136,276561303.9666939,2025-12-08T00:00:00Z
