Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Setup,Score,Is_Leveraged_ETF
WVE,18.52,15.28,6.68,90.6,5.51,152687033.0,7.77,7.72,1,1,135.62,Breakout,50.34,False
CVNA,447.98,4.07,4.81,85.4,1.97,1265769964.0,351.02,348.14,1,1,47.37,Breakout,25.66,False
