ticker,name,exchange,sector,technical_score,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
SMLR,"Semler Scientific, Inc.",NCM,Healthcare,8.45,"{'dist_to_52w_high_pct': 49.41, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.57, 'rsi14': 51.53, 'ma10': 8.53, 'ma20': 8.56, 'ma50': 8.85, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 157.35, 'breakout': {'score': 2.0, 'donchian20_prev': 10.495, 'donchian55_prev': 11.395, 'atr14': 0.7161, 'vol_ratio_3_20': 1.5712, 'breakout_strength_atr': -2.0878, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 7.96, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.79, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,9.0,311112768,167464743.03680468,2026-02-27T00:00:00Z
NBTB,NBT Bancorp Inc.,NASDAQ,Financial Services,8.45,"{'dist_to_52w_high_pct': 14.55, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.68, 'rsi14': 57.87, 'ma10': 37.23, 'ma20': 36.45, 'ma50': 36.12, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 128.61, 'breakout': {'score': 2.0, 'donchian20_prev': 42.95, 'donchian55_prev': 42.95, 'atr14': 1.805, 'vol_ratio_3_20': 1.6797, 'breakout_strength_atr': -2.3546, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.66, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.16, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,38.70000076293945,2238275584,55014228.36843605,2026-02-27T00:00:00Z
PDM,"Piedmont Realty Trust, Inc.",NYSE,Real Estate,8.45,"{'dist_to_52w_high_pct': 16.84, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.56, 'rsi14': 62.6, 'ma10': 60.45, 'ma20': 59.72, 'ma50': 61.46, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 95.28, 'breakout': {'score': 2.0, 'donchian20_prev': 68.39, 'donchian55_prev': 74.88, 'atr14': 3.5907, 'vol_ratio_3_20': 1.5634, 'breakout_strength_atr': -1.7044, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 5.77, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.63, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,62.27000045776367,947607936,34608987.31502724,2026-02-27T00:00:00Z
TK,Teekay Corporation Ltd.,NYSE,Energy,8.45,"{'dist_to_52w_high_pct': 14.55, 'within_5pct_52w_high': False, 'volume_ratio_3d_to_20d': 1.68, 'rsi14': 57.87, 'ma10': 37.23, 'ma20': 36.45, 'ma50': 36.12, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 128.61, 'breakout': {'score': 2.0, 'donchian20_prev': 42.95, 'donchian55_prev': 42.95, 'atr14': 1.805, 'vol_ratio_3_20': 1.6797, 'breakout_strength_atr': -2.3546, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.66, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.16, 'extension_adj': 0.0}, 'data_gaps': []}",2.0,0.25,38.70000076293945,1104233984,55014228.36843605,2026-02-27T00:00:00Z
ELV,"Elevance Health, Inc.",NYSE,Healthcare,8.25,"{'dist_to_52w_high_pct': 2.12, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.67, 'rsi14': 69.52, 'ma10': 16.8, 'ma20': 16.44, 'ma50': 14.86, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 32.26, 'breakout': {'score': 0.0, 'donchian20_prev': 17.48, 'donchian55_prev': 17.48, 'atr14': 0.6404, 'vol_ratio_3_20': 0.6707, 'breakout_strength_atr': -0.5778, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.74, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.19, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,17.110000610351562,70625492992,62256990.09339752,2026-02-27T00:00:00Z
ASIC,Ategrity Specialty Insurance Company Holdings,NYSE,Financial Services,8.25,"{'dist_to_52w_high_pct': 2.73, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.86, 'rsi14': 58.5, 'ma10': 481.37, 'ma20': 474.45, 'ma50': 465.7, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 27.85, 'breakout': {'score': 0.0, 'donchian20_prev': 503.88, 'donchian55_prev': 503.88, 'atr14': 14.185, 'vol_ratio_3_20': 0.8629, 'breakout_strength_atr': -0.497, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.86, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.46, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,496.8299865722656,1063234816,716945053.1923676,2026-02-27T00:00:00Z
HCSG,"Healthcare Services Group, Inc.",NASDAQ,Healthcare,8.25,"{'dist_to_52w_high_pct': 3.27, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.26, 'rsi14': 56.06, 'ma10': 255.35, 'ma20': 253.11, 'ma50': 242.71, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 55.01, 'breakout': {'score': 0.0, 'donchian20_prev': 270.87, 'donchian55_prev': 270.87, 'atr14': 10.3, 'vol_ratio_3_20': 1.2619, 'breakout_strength_atr': -0.8612, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.93, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.42, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,262.0,1533816576,40602890.84146118,2026-02-27T00:00:00Z
DERM,Journey Medical Corporation,NCM,Healthcare,8.25,"{'dist_to_52w_high_pct': 0.63, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.06, 'rsi14': 62.59, 'ma10': 157.49, 'ma20': 155.33, 'ma50': 154.94, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 21.62, 'breakout': {'score': 0.0, 'donchian20_prev': 162.68, 'donchian55_prev': 162.68, 'atr14': 3.5368, 'vol_ratio_3_20': 1.0617, 'breakout_strength_atr': -0.2884, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.19, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.99, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,161.66000366210938,271706336,855147979.1205597,2026-02-27T00:00:00Z
MLM,"Martin Marietta Materials, Inc.",NYSE,Basic Materials,8.25,"{'dist_to_52w_high_pct': 2.37, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.35, 'rsi14': 64.31, 'ma10': 111.84, 'ma20': 109.96, 'ma50': 104.64, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.79, 'breakout': {'score': 0.0, 'donchian20_prev': 115.25, 'donchian55_prev': 115.25, 'atr14': 2.5421, 'vol_ratio_3_20': 1.3497, 'breakout_strength_atr': -1.0739, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.26, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.09, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,112.5199966430664,40802004992,291567521.6700913,2026-02-27T00:00:00Z
NKE,"NIKE, Inc.",NYSE,Consumer Cyclical,8.25,"{'dist_to_52w_high_pct': 2.37, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.35, 'rsi14': 64.31, 'ma10': 111.84, 'ma20': 109.96, 'ma50': 104.64, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 20.79, 'breakout': {'score': 0.0, 'donchian20_prev': 115.25, 'donchian55_prev': 115.25, 'atr14': 2.5421, 'vol_ratio_3_20': 1.3497, 'breakout_strength_atr': -1.0739, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.26, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.09, 'extension_adj': 0.0}, 'data_gaps': []}",0.0,0.25,112.5199966430664,92050235392,291567521.6700913,2026-02-27T00:00:00Z
