Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
AFCG,16.09,2.41,3.74,70.2,0.62,149899325.0,14.53,14.18,1,1,9.23,7.84,Breakout,21.62,False
FBNC,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FBP,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FBRT,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FBYD,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FC,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FCAP,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FCBC,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
FCCO,28.94,2.05,3.78,81.6,2.95,351572410.0,26.58,26.38,1,1,12.08,5.16,Breakout,20.35,False
