ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
MS,Morgan Stanley,NYSE,Financial Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.48, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.76, 'rsi14': 63.31, 'above_ma10_ma20_ma50': True, 'ma10': 185.33, 'ma20': 181.87, 'ma50': 173.97, 'realized_vol_5d_ann_pct': 48.19}",191.23,305267277824,967300858.4699999,2026-01-15T00:00:00Z
CADE,Cadence Bank,NYSE,Financial Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.52, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.71, 'rsi14': 53.25, 'above_ma10_ma20_ma50': True, 'ma10': 44.38, 'ma20': 43.97, 'ma50': 41.53, 'realized_vol_5d_ann_pct': 28.84}",44.4,8272031232,100060601.67700002,2026-01-15T00:00:00Z
DAL,"Delta Air Lines, Inc.",NYSE,Industrials,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.49, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.65, 'rsi14': 51.38, 'above_ma10_ma20_ma50': True, 'ma10': 70.85, 'ma20': 70.61, 'ma50': 65.84, 'realized_vol_5d_ann_pct': 43.24}",71.34,46582362112,514125203.82750005,2026-01-15T00:00:00Z
STE,STERIS plc,NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.41, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.85, 'rsi14': 67.17, 'above_ma10_ma20_ma50': True, 'ma10': 259.67, 'ma20': 257.05, 'ma50': 258.31, 'realized_vol_5d_ann_pct': 22.62}",268.26,26421092352,127963988.7905,2026-01-15T00:00:00Z
GS,"The Goldman Sachs Group, Inc.",NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.55, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.28, 'rsi14': 65.98, 'above_ma10_ma20_ma50': True, 'ma10': 942.93, 'ma20': 917.28, 'ma50': 860.44, 'realized_vol_5d_ann_pct': 36.19}",975.86,295413383168,1985581602.1815002,2026-01-15T00:00:00Z
GVA,Granite Construction Incorporated,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.21, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.96, 'rsi14': 56.85, 'above_ma10_ma20_ma50': True, 'ma10': 120.81, 'ma20': 118.77, 'ma50': 111.07, 'realized_vol_5d_ann_pct': 22.68}",120.98,5297249280,82124896.1605,2026-01-15T00:00:00Z
NUE,Nucor Corporation,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.65, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.97, 'rsi14': 63.05, 'above_ma10_ma20_ma50': True, 'ma10': 168.59, 'ma20': 165.84, 'ma50': 158.88, 'realized_vol_5d_ann_pct': 29.41}",174.79,40002203648,270644070.4109999,2026-01-15T00:00:00Z
HAS,"Hasbro, Inc.",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.59, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.13, 'rsi14': 67.23, 'above_ma10_ma20_ma50': True, 'ma10': 86.45, 'ma20': 84.23, 'ma50': 81.49, 'realized_vol_5d_ann_pct': 27.45}",86.89,12193884160,128828284.9845,2026-01-15T00:00:00Z
COMM,"CommScope Holding Company, Inc.",NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.72, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.36, 'rsi14': 64.58, 'above_ma10_ma20_ma50': True, 'ma10': 18.43, 'ma20': 18.33, 'ma50': 18.17, 'realized_vol_5d_ann_pct': 51.12}",19.58,4337923584,61170327.122,2026-01-13T00:00:00Z
HSIC,"Henry Schein, Inc.",NASDAQ,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.44, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.13, 'rsi14': 58.66, 'above_ma10_ma20_ma50': True, 'ma10': 77.5, 'ma20': 77.04, 'ma50': 74.85, 'realized_vol_5d_ann_pct': 28.29}",78.08,9468637184,91449014.125,2026-01-15T00:00:00Z
NEM,Newmont Corporation,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.99, 'rsi14': 65.28, 'above_ma10_ma20_ma50': True, 'ma10': 109.38, 'ma20': 105.8, 'ma50': 95.94, 'realized_vol_5d_ann_pct': 25.67}",114.21,125453934592,894595081.1960001,2026-01-15T00:00:00Z
HUBB,Hubbell Incorporated,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.08, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.15, 'rsi14': 64.41, 'above_ma10_ma20_ma50': True, 'ma10': 472.03, 'ma20': 459.38, 'ma50': 447.2, 'realized_vol_5d_ann_pct': 21.54}",484.11,25727905792,200482842.5495,2026-01-15T00:00:00Z
GLW,Corning Incorporated,NYSE,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.26, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.93, 'rsi14': 59.56, 'above_ma10_ma20_ma50': True, 'ma10': 88.86, 'ma20': 88.56, 'ma50': 86.69, 'realized_vol_5d_ann_pct': 26.36}",93.49,80154624000,451780598.6629999,2026-01-15T00:00:00Z
CLSK,"CleanSpark, Inc.",NCM,Financial Services,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 46.08, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.69, 'rsi14': 60.06, 'above_ma10_ma20_ma50': True, 'ma10': 12.2, 'ma20': 11.69, 'ma50': 12.66, 'realized_vol_5d_ann_pct': 77.59}",12.73,3403184384,299169172.87250006,2026-01-15T00:00:00Z
HWM,Howmet Aerospace Inc.,NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.15, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.08, 'rsi14': 66.45, 'above_ma10_ma20_ma50': True, 'ma10': 216.28, 'ma20': 210.95, 'ma50': 204.47, 'realized_vol_5d_ann_pct': 26.03}",224.26,90264649728,437375015.97650003,2026-01-15T00:00:00Z
EXPE,"Expedia Group, Inc.",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.13, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.09, 'rsi14': 56.54, 'above_ma10_ma20_ma50': True, 'ma10': 294.1, 'ma20': 290.27, 'ma50': 270.12, 'realized_vol_5d_ann_pct': 38.58}",294.28,36407021568,398707997.113,2026-01-15T00:00:00Z
ICE,"Intercontinental Exchange, Inc.",NYSE,Financial Services,8.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 8.49, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.54, 'rsi14': 69.86, 'above_ma10_ma20_ma50': True, 'ma10': 166.07, 'ma20': 164.03, 'ma50': 158.5, 'realized_vol_5d_ann_pct': 26.24}",173.28,99189473280,460149039.67399997,2026-01-15T00:00:00Z
SYNA,Synaptics Incorporated,NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.28, 'resistance_level': None, 'volume_ratio_3d_to_20d': 2.14, 'rsi14': 76.89, 'above_ma10_ma20_ma50': True, 'ma10': 84.11, 'ma20': 79.1, 'ma50': 73.48, 'realized_vol_5d_ann_pct': 52.57}",90.54,3535606528,54969849.16475,2026-01-15T00:00:00Z
MUR,Murphy Oil Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.28, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.07, 'rsi14': 60.09, 'above_ma10_ma20_ma50': True, 'ma10': 32.25, 'ma20': 31.87, 'ma50': 31.24, 'realized_vol_5d_ann_pct': 39.08}",33.68,4807443456,71879886.403,2026-01-15T00:00:00Z
MU,"Micron Technology, Inc.",NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.16, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.72, 'rsi14': 68.36, 'above_ma10_ma20_ma50': True, 'ma10': 333.66, 'ma20': 303.67, 'ma50': 263.18, 'realized_vol_5d_ann_pct': 48.06}",336.63,378880196608,9622218313.132498,2026-01-15T00:00:00Z
CBRE,"CBRE Group, Inc.",NYSE,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.24, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.03, 'rsi14': 63.19, 'above_ma10_ma20_ma50': True, 'ma10': 165.64, 'ma20': 164.22, 'ma50': 159.45, 'realized_vol_5d_ann_pct': 28.96}",170.83,50837811200,212519143.9615,2026-01-15T00:00:00Z
