ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
A,"Agilent Technologies, Inc.",NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.22, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.45, 'rsi14': 61.16, 'above_ma10_ma20_ma50': True, 'ma10': 149.46, 'ma20': 148.34, 'ma50': 141.84, 'realized_vol_5d_ann_pct': 38.02}",153.5,41515802624,293634109.3800354,2025-11-28T00:00:00Z
CADE,Cadence Bank,NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.97, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.85, 'rsi14': 62.7, 'above_ma10_ma20_ma50': True, 'ma10': 38.54, 'ma20': 38.29, 'ma50': 37.85, 'realized_vol_5d_ann_pct': 27.18}",39.84000015258789,8173288448,119782120.17635345,2025-11-28T00:00:00Z
EXPD,"Expeditors International of Washington, Inc.",NYSE,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.0, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.58, 'rsi14': 68.89, 'above_ma10_ma20_ma50': True, 'ma10': 142.73, 'ma20': 138.82, 'ma50': 127.41, 'realized_vol_5d_ann_pct': 26.39}",146.89999389648438,21807931392,254722544.97196198,2025-11-28T00:00:00Z
NDSN,Nordson Corporation,NASDAQ,Industrials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.16, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.82, 'rsi14': 59.45, 'above_ma10_ma20_ma50': True, 'ma10': 232.09, 'ma20': 232.49, 'ma50': 231.71, 'realized_vol_5d_ann_pct': 21.53}",237.66000366210938,14681445376,73217206.22383118,2025-11-28T00:00:00Z
RDNT,"RadNet, Inc.",NGM,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.55, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.86, 'rsi14': 59.07, 'above_ma10_ma20_ma50': True, 'ma10': 80.69, 'ma20': 79.09, 'ma50': 77.92, 'realized_vol_5d_ann_pct': 39.58}",82.79000091552734,5773772288,73012684.89074707,2025-11-28T00:00:00Z
GM,General Motors Company,NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.46, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.92, 'rsi14': 61.89, 'above_ma10_ma20_ma50': True, 'ma10': 70.33, 'ma20': 70.09, 'ma50': 64.76, 'realized_vol_5d_ann_pct': 21.26}",73.5199966430664,79612747776,596758725.1549911,2025-11-28T00:00:00Z
COR,"Cencora, Inc.",NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.28, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.7, 'rsi14': 60.4, 'above_ma10_ma20_ma50': True, 'ma10': 366.15, 'ma20': 360.92, 'ma50': 334.14, 'realized_vol_5d_ann_pct': 20.53}",368.92999267578125,67091660800,591112204.2070007,2025-11-28T00:00:00Z
CMC,Commercial Metals Company,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.34, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.88, 'rsi14': 67.46, 'above_ma10_ma20_ma50': True, 'ma10': 60.05, 'ma20': 59.41, 'ma50': 59.06, 'realized_vol_5d_ann_pct': 26.11}",63.779998779296875,8260301312,54576916.530189514,2025-11-28T00:00:00Z
SPHR,Sphere Entertainment Co.,NYSE,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.22, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.47, 'rsi14': 65.89, 'above_ma10_ma20_ma50': True, 'ma10': 78.52, 'ma20': 76.3, 'ma50': 67.87, 'realized_vol_5d_ann_pct': 23.09}",84.58999633789062,3513362944,77578406.71340942,2025-11-28T00:00:00Z
NU,Nu Holdings Ltd.,NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.94, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.93, 'rsi14': 65.83, 'above_ma10_ma20_ma50': True, 'ma10': 16.08, 'ma20': 16.05, 'ma50': 15.75, 'realized_vol_5d_ann_pct': 30.58}",17.389999389648438,80266960896,634030467.796154,2025-11-28T00:00:00Z
STE,STERIS plc,NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.86, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.57, 'rsi14': 53.86, 'above_ma10_ma20_ma50': True, 'ma10': 261.14, 'ma20': 257.62, 'ma50': 248.26, 'realized_vol_5d_ann_pct': 20.72}",266.2799987792969,25562253312,198630997.36335754,2025-11-28T00:00:00Z
SRE,Sempra,NYSE,Utilities,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.04, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.6, 'rsi14': 54.36, 'above_ma10_ma20_ma50': True, 'ma10': 92.49, 'ma20': 92.6, 'ma50': 91.33, 'realized_vol_5d_ann_pct': 22.09}",94.72000122070312,58414997504,378473802.914238,2025-11-28T00:00:00Z
EQT,EQT Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.65, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.81, 'rsi14': 60.54, 'above_ma10_ma20_ma50': True, 'ma10': 58.41, 'ma20': 58.02, 'ma50': 55.6, 'realized_vol_5d_ann_pct': 33.01}",60.86000061035156,32017954816,449645067.84353256,2025-11-28T00:00:00Z
AHR,"American Healthcare REIT, Inc.",NYSE,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.26, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.76, 'rsi14': 58.21, 'above_ma10_ma20_ma50': True, 'ma10': 49.1, 'ma20': 48.35, 'ma50': 44.75, 'realized_vol_5d_ann_pct': 35.1}",50.779998779296875,8927660032,108991451.3748169,2025-11-28T00:00:00Z
MCK,McKesson Corporation,NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.61, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.79, 'rsi14': 62.82, 'above_ma10_ma20_ma50': True, 'ma10': 865.04, 'ma20': 854.07, 'ma50': 803.2, 'realized_vol_5d_ann_pct': 20.35}",881.1199951171875,103038164992,671021766.055603,2025-11-28T00:00:00Z
