ticker,name,exchange,sector,technical_score,swing_score,swing_signal,swing_regime,signal_reason,technical_evidence,breakout_score,momentum_adj,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc,rsi14,atr_pct,vol_ratio_3_20,dist_52w_high_pct
CRH,CRH plc,NYSE,Basic Materials,8.73,9.03,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 0.13, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.53, 'rsi14': 57.02, 'ma10': 126.94, 'ma20': 126.6, 'ma50': 120.35, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 57.15, 'breakout': {'score': 6.0, 'donchian20_prev': 129.75, 'donchian55_prev': 129.75, 'atr14': 2.9304, 'vol_ratio_3_20': 0.533, 'breakout_strength_atr': 0.5562, 'is_breakout_20': True}, 'momentum_norm': {'atr_pct': 2.23, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.75, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 105.82}",6.0,0.25,131.38,82117812224,1594435979.8525,2026-01-09T00:00:00Z,57.02369035702368,2.2304438596872744,0.533032239802191,0.12922843025466813
GM,General Motors Company,NYSE,Consumer Cyclical,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.71, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.15, 'rsi14': 56.33, 'ma10': 82.59, 'ma20': 82.2, 'ma50': 75.8, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 43.43, 'breakout': {'score': 0.0, 'donchian20_prev': 85.18, 'donchian55_prev': 85.18, 'atr14': 1.6825, 'vol_ratio_3_20': 1.1489, 'breakout_strength_atr': -1.373, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.03, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.15, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 58.53}",0.0,0.25,82.87,75861557248,716066213.546,2026-01-09T00:00:00Z,56.33383010432192,2.030288403523593,1.1488735072506016,2.7119042028645244
HSY,The Hershey Company,NYSE,Consumer Defensive,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 4.99, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.21, 'rsi14': 51.57, 'ma10': 182.47, 'ma20': 184.23, 'ma50': 180.58, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 27.1, 'breakout': {'score': 0.0, 'donchian20_prev': 191.15, 'donchian55_prev': 191.15, 'atr14': 4.2303, 'vol_ratio_3_20': 1.2052, 'breakout_strength_atr': -0.4917, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 2.24, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.63, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 176.62}",0.0,0.25,189.07,38772514816,273157909.815,2026-01-09T00:00:00Z,51.57276183892153,2.2374290701100885,1.2051954077910763,4.989949748743722
APGE,"Apogee Therapeutics, Inc.",NGM,Healthcare,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 3.7, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.05, 'rsi14': 52.84, 'ma10': 77.09, 'ma20': 77.04, 'ma50': 69.78, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 23.95, 'breakout': {'score': 0.0, 'donchian20_prev': 80.99, 'donchian55_prev': 80.99, 'atr14': 3.4065, 'vol_ratio_3_20': 1.0489, 'breakout_strength_atr': -0.8807, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 4.37, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.67, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 47.28}",0.0,0.25,77.99,4783782400,80900569.49800001,2026-01-09T00:00:00Z,52.836879432624116,4.367840199292947,1.048934810875545,3.7041610075317943
KEY,KeyCorp,NYSE,Financial Services,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 2.57, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.07, 'rsi14': 54.42, 'ma10': 21.14, 'ma20': 21.0, 'ma50': 19.27, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 23.33, 'breakout': {'score': 0.0, 'donchian20_prev': 21.75, 'donchian55_prev': 21.75, 'atr14': 0.3575, 'vol_ratio_3_20': 1.067, 'breakout_strength_atr': -1.5662, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.69, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.59, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 17.65}",0.0,0.25,21.19,23260661760,275797189.29050004,2026-01-09T00:00:00Z,54.41696113074206,1.6873188161531723,1.0669506965773699,2.574712643678155
USB,U.S. Bancorp,NYSE,Financial Services,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 1.75, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.89, 'rsi14': 57.96, 'ma10': 54.83, 'ma20': 54.43, 'ma50': 50.73, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 30.49, 'breakout': {'score': 0.0, 'donchian20_prev': 56.195, 'donchian55_prev': 56.195, 'atr14': 0.9175, 'vol_ratio_3_20': 0.8879, 'breakout_strength_atr': -1.0736, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.66, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.43, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 46.42}",0.0,0.25,55.21,86255853568,482191217.82650006,2026-01-09T00:00:00Z,57.95724465558197,1.661836623800035,0.8879396131836779,1.7528249844292187
BBIO,"BridgeBio Pharma, Inc.",NASDAQ,Healthcare,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 1.7, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.15, 'rsi14': 59.08, 'ma10': 75.44, 'ma20': 75.41, 'ma50': 70.78, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 61.68, 'breakout': {'score': 0.0, 'donchian20_prev': 78.585, 'donchian55_prev': 78.585, 'atr14': 2.6089, 'vol_ratio_3_20': 1.1515, 'breakout_strength_atr': -0.5117, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 3.38, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': -0.37, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 50.85}",0.0,0.25,77.25,14921994240,151493867.27924997,2026-01-09T00:00:00Z,59.08294392523365,3.37719833564494,1.1515090363438167,1.6987974804351897
HSIC,"Henry Schein, Inc.",NASDAQ,Healthcare,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 3.62, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 1.0, 'rsi14': 53.53, 'ma10': 77.33, 'ma20': 77.09, 'ma50': 73.79, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 24.09, 'breakout': {'score': 0.0, 'donchian20_prev': 80.03, 'donchian55_prev': 80.03, 'atr14': 1.4904, 'vol_ratio_3_20': 1.0044, 'breakout_strength_atr': -1.6036, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.92, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.56, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 69.73}",0.0,0.25,77.64,9363133440,86779325.623,2026-01-09T00:00:00Z,53.53075170842827,1.9195738573636572,1.0044145777819553,3.624627606752733
STE,STERIS plc,NYSE,Healthcare,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 4.39, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.78, 'rsi14': 59.57, 'ma10': 256.42, 'ma20': 254.96, 'ma50': 256.16, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 25.05, 'breakout': {'score': 0.0, 'donchian20_prev': 263.08, 'donchian55_prev': 268.6, 'atr14': 4.6566, 'vol_ratio_3_20': 0.7752, 'breakout_strength_atr': -1.3443, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.81, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 1.5, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 241.34}",0.0,0.25,256.82,25560281088,141158527.96,2026-01-09T00:00:00Z,59.57137667998541,1.8131765438828735,0.7751687683700814,4.385703648548037
EIX,Edison International,NYSE,Utilities,8.25,8.55,pullback,chop,chop_pullback,"{'dist_to_52w_high_pct': 0.65, 'within_5pct_52w_high': True, 'volume_ratio_3d_to_20d': 0.91, 'rsi14': 54.62, 'ma10': 60.11, 'ma20': 59.77, 'ma50': 58.37, 'above_ma10_ma20_ma50': True, 'realized_vol_5d_ann_pct': 36.36, 'breakout': {'score': 0.0, 'donchian20_prev': 61.39, 'donchian55_prev': 61.39, 'atr14': 1.1535, 'vol_ratio_3_20': 0.9081, 'breakout_strength_atr': -0.3468, 'is_breakout_20': False}, 'momentum_norm': {'atr_pct': 1.89, 'volatility_adj': 0.25, 'volatility_note': 'moderate_volatility_bonus', 'ret5_atr_units': 0.05, 'extension_adj': 0.0}, 'data_gaps': [], 'ma200': 55.59}",0.0,0.25,60.99,23386363904,194151998.1785,2026-01-09T00:00:00Z,54.617117117117125,1.8913756353500566,0.9080609593932875,0.6515719172503642
