Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Setup,Score,Is_Leveraged_ETF,Ret5d%
LQDA,35.86,5.26,6.33,57.0,6.03,51395300.0,33.77,31.08,1,1,9.73,Breakout,30.99,False,
CGON,54.2,5.8,4.85,87.9,5.57,53208006.0,40.85,41.42,1,1,29.85,Breakout,28.97,False,
GLUE,24.28,2.11,7.87,74.0,5.78,55848341.0,17.5,15.79,1,1,40.92,Breakout,26.49,False,
APLD,37.68,2.54,7.33,78.4,6.27,974005785.0,27.22,27.89,1,1,21.59,Breakout,26.35,False,
HOUS,17.64,3.45,4.41,82.8,2.16,53477982.0,14.66,13.44,1,1,20.0,Breakout,23.99,False,
KTOS,113.7,2.11,5.29,87.7,1.52,251775275.0,81.99,78.93,1,1,47.84,Breakout,22.31,False,
COMP,12.84,2.62,4.22,82.4,5.1,221517091.0,10.91,10.06,1,1,21.71,Breakout,22.0,False,
INTC,45.55,2.4,4.38,82.1,0.39,3046419595.0,38.27,38.29,1,1,11.7,Breakout,21.93,False,
