ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
A,"Agilent Technologies, Inc.",NYSE,Healthcare,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.92, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.79, 'rsi14': 68.59, 'above_ma10_ma20_ma50': True, 'ma10': 148.51, 'ma20': 147.28, 'ma50': 140.77, 'realized_vol_5d_ann_pct': 25.4}",157.1999969482422,41955229696,280966418.1903839,2025-11-25T00:00:00Z
AHR,"American Healthcare REIT, Inc.",NYSE,Real Estate,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.96, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.75, 'rsi14': 59.86, 'above_ma10_ma20_ma50': True, 'ma10': 48.58, 'ma20': 47.78, 'ma50': 44.42, 'realized_vol_5d_ann_pct': 24.65}",48.790000915527344,8855017472,112172939.43277359,2025-11-25T00:00:00Z
SRE,Sempra,NYSE,Utilities,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.4, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.73, 'rsi14': 50.38, 'above_ma10_ma20_ma50': True, 'ma10': 92.11, 'ma20': 92.41, 'ma50': 90.86, 'realized_vol_5d_ann_pct': 23.67}",92.47000122070312,58153922560,379310789.22748566,2025-11-25T00:00:00Z
MTD,Mettler-Toledo International Inc.,NYSE,Healthcare,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.26, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.58, 'rsi14': 65.91, 'above_ma10_ma20_ma50': True, 'ma10': 1428.08, 'ma20': 1424.59, 'ma50': 1355.97, 'realized_vol_5d_ann_pct': 25.69}",1506.02001953125,30733561856,231567540.63293457,2025-11-25T00:00:00Z
KEYS,"Keysight Technologies, Inc.",NYSE,Technology,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.0, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.91, 'rsi14': 59.27, 'above_ma10_ma20_ma50': True, 'ma10': 178.18, 'ma20': 179.68, 'ma50': 174.08, 'realized_vol_5d_ann_pct': 76.12}",195.4600067138672,35863388160,281136008.55171204,2025-11-25T00:00:00Z
AVGO,Broadcom Inc.,NASDAQ,Technology,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.8, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.63, 'rsi14': 60.74, 'above_ma10_ma20_ma50': True, 'ma10': 352.52, 'ma20': 357.31, 'ma50': 348.93, 'realized_vol_5d_ann_pct': 86.16}",385.0299987792969,1669923995648,8182384271.51001,2025-11-25T00:00:00Z
ADI,"Analog Devices, Inc.",NASDAQ,Technology,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.37, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.67, 'rsi14': 61.77, 'above_ma10_ma20_ma50': True, 'ma10': 235.51, 'ma20': 234.15, 'ma50': 238.83, 'realized_vol_5d_ann_pct': 49.84}",252.02000427246094,143889743872,946423306.3136292,2025-11-25T00:00:00Z
WMT,Walmart Inc.,NASDAQ,Consumer Defensive,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.35, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.69, 'rsi14': 64.89, 'above_ma10_ma20_ma50': True, 'ma10': 103.69, 'ma20': 102.91, 'ma50': 103.61, 'realized_vol_5d_ann_pct': 55.08}",107.0,940557271040,2121775564.558258,2025-11-25T00:00:00Z
D,"Dominion Energy, Inc.",NYSE,Utilities,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.57, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.25, 'rsi14': 62.12, 'above_ma10_ma20_ma50': True, 'ma10': 61.14, 'ma20': 60.51, 'ma50': 60.65, 'realized_vol_5d_ann_pct': 20.22}",61.540000915527344,49859997696,335696876.14025116,2025-11-25T00:00:00Z
MS,Morgan Stanley,NYSE,Financial Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.69, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.43, 'rsi14': 50.36, 'above_ma10_ma20_ma50': True, 'ma10': 162.61, 'ma20': 163.48, 'ma50': 160.76, 'realized_vol_5d_ann_pct': 31.85}",165.42999267578125,297828384768,941823525.0595093,2025-11-25T00:00:00Z
CVCO,"Cavco Industries, Inc.",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.35, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.97, 'rsi14': 63.57, 'above_ma10_ma20_ma50': True, 'ma10': 558.53, 'ma20': 552.45, 'ma50': 553.38, 'realized_vol_5d_ann_pct': 40.4}",596.760009765625,5360484864,70325247.30194092,2025-11-25T00:00:00Z
ROST,"Ross Stores, Inc.",NASDAQ,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.47, 'resistance_level': None, 'volume_ratio_3d_to_20d': 2.05, 'rsi14': 78.37, 'above_ma10_ma20_ma50': True, 'ma10': 165.02, 'ma20': 162.85, 'ma50': 156.77, 'realized_vol_5d_ann_pct': 57.14}",176.5,62528000000,482130622.1105957,2025-11-25T00:00:00Z
MRK,"Merck & Co., Inc.",NYSE,Healthcare,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.17, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.58, 'rsi14': 93.71, 'above_ma10_ma20_ma50': True, 'ma10': 96.04, 'ma20': 90.99, 'ma50': 87.25, 'realized_vol_5d_ann_pct': 41.92}",105.66000366210938,272732962816,1445757104.9230957,2025-11-25T00:00:00Z
HST,"Host Hotels & Resorts, Inc.",NASDAQ,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.41, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.78, 'rsi14': 66.6, 'above_ma10_ma20_ma50': True, 'ma10': 17.4, 'ma20': 17.1, 'ma50': 16.92, 'realized_vol_5d_ann_pct': 36.07}",17.790000915527344,12775212032,169888897.50106812,2025-11-25T00:00:00Z
