ticker,name,exchange,sector,technical_score,technical_evidence,current_price,market_cap_usd,avg_dollar_volume_20d,asof_price_utc
FIBK,"First Interstate BancSystem, Inc.",NASDAQ,Financial Services,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 3.41, 'rsi14': 52.46, 'above_ma10_ma20_ma50': True, 'ma10': 31.9, 'ma20': 31.82, 'ma50': 31.73, 'realized_vol_5d_ann_pct': 34.93}",32.779998779296875,3771681280,63171282.02453613,2025-12-02T00:00:00Z
CVCO,"Cavco Industries, Inc.",NASDAQ,Consumer Cyclical,10.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.64, 'resistance_level': None, 'volume_ratio_3d_to_20d': 1.55, 'rsi14': 52.94, 'above_ma10_ma20_ma50': True, 'ma10': 574.25, 'ma20': 567.47, 'ma50': 556.23, 'realized_vol_5d_ann_pct': 42.8}",585.27001953125,5478220288,69630468.27758789,2025-12-02T00:00:00Z
CNX,CNX Resources Corporation,NYSE,Energy,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.83, 'rsi14': 64.1, 'above_ma10_ma20_ma50': True, 'ma10': 37.82, 'ma20': 36.83, 'ma50': 34.23, 'realized_vol_5d_ann_pct': 20.44}",38.9900016784668,5253321216,59681777.66540527,2025-12-02T00:00:00Z
COMM,"CommScope Holding Company, Inc.",NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.94, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.83, 'rsi14': 66.95, 'above_ma10_ma20_ma50': True, 'ma10': 18.42, 'ma20': 17.59, 'ma50': 16.44, 'realized_vol_5d_ann_pct': 22.06}",19.510000228881836,4324631040,88363745.71853638,2025-12-02T00:00:00Z
TJX,"The TJX Companies, Inc.",NYSE,Consumer Cyclical,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.0, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.65, 'rsi14': 59.59, 'above_ma10_ma20_ma50': True, 'ma10': 149.83, 'ma20': 147.53, 'ma50': 144.41, 'realized_vol_5d_ann_pct': 21.24}",150.02000427246094,175026307072,938270530.4651642,2025-12-02T00:00:00Z
CRH,CRH plc,NYSE,Basic Materials,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.77, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.87, 'rsi14': 64.0, 'above_ma10_ma20_ma50': True, 'ma10': 114.44, 'ma20': 113.76, 'ma50': 116.08, 'realized_vol_5d_ann_pct': 29.98}",118.61000061035156,84637114368,474114433.20747375,2025-12-02T00:00:00Z
TER,"Teradyne, Inc.",NASDAQ,Technology,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.85, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.8, 'rsi14': 58.62, 'above_ma10_ma20_ma50': True, 'ma10': 171.12, 'ma20': 174.47, 'ma50': 157.03, 'realized_vol_5d_ann_pct': 54.76}",189.94000244140625,36253495296,604741559.1772461,2025-12-02T00:00:00Z
SPHR,Sphere Entertainment Co.,NYSE,Communication Services,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.44, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.62, 'rsi14': 57.48, 'above_ma10_ma20_ma50': True, 'ma10': 79.8, 'ma20': 77.81, 'ma50': 68.83, 'realized_vol_5d_ann_pct': 43.89}",81.86000061035156,3461344000,75847623.79577637,2025-12-02T00:00:00Z
SBRA,"Sabra Health Care REIT, Inc.",NASDAQ,Real Estate,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.8, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.77, 'rsi14': 54.83, 'above_ma10_ma20_ma50': True, 'ma10': 18.98, 'ma20': 18.84, 'ma50': 18.39, 'realized_vol_5d_ann_pct': 20.23}",19.40999984741211,4854838272,60470563.01092148,2025-12-02T00:00:00Z
EL,The Estée Lauder Companies Inc.,NYSE,Consumer Defensive,8.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.68, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.8, 'rsi14': 65.8, 'above_ma10_ma20_ma50': True, 'ma10': 91.79, 'ma20': 90.7, 'ma50': 92.46, 'realized_vol_5d_ann_pct': 39.66}",99.63999938964844,42845032448,339409927.64514923,2025-12-02T00:00:00Z
