Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
TEX,269.07,1.92,5.3,68.1,8.94,882084812.0,236.28,210.84,1,1,17.58,7.42,Breakout,22.74,False
CTRI,30.49,2.75,3.82,85.1,0.47,402312619.0,26.85,26.49,1,1,21.62,9.72,Breakout,21.69,False
CTRN,30.49,2.75,3.82,85.1,0.47,402312619.0,26.85,26.49,1,1,21.62,9.72,Breakout,21.69,False
CTS,30.49,2.75,3.82,85.1,0.47,402312619.0,26.85,26.49,1,1,21.62,9.72,Breakout,21.69,False
TECX,68.67,2.08,4.15,50.7,4.84,177401622.0,67.1,63.34,1,1,5.19,4.74,Breakout,21.28,False
