Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
INSE,47.08,1.83,12.79,31.5,49.83,90719101.0,59.51,56.63,0,0,-27.58,-15.69,Reversal,32.9,False
CRGY,96.95,2.15,11.67,8.0,54.65,886299968.0,136.91,147.55,0,0,-27.08,-25.23,Reversal,31.31,False
APPS,387.34,2.42,10.7,16.8,48.05,3384794362.0,557.91,621.28,0,0,-37.25,-28.58,Reversal,30.92,False
ITIC,157.83,2.4,8.43,16.7,65.06,308157723.0,223.95,233.64,0,0,-35.52,-30.16,Reversal,27.39,False
BTDR,75.5,4.59,4.76,22.3,31.05,1509108288.0,92.44,94.72,0,0,-22.79,-19.5,Reversal,25.31,False
BTBT,75.5,4.59,4.76,22.3,31.05,1509108288.0,92.44,94.72,0,0,-22.79,-19.5,Reversal,25.31,False
HOPE,80.62,2.41,6.97,2.9,47.6,2630413283.0,106.15,115.93,0,0,-33.76,-22.03,Reversal,25.15,False
SNOW,165.29,2.98,5.78,21.5,41.11,1103181444.0,206.26,220.56,0,0,-29.52,-23.48,Reversal,24.57,False
PLTR,139.54,2.34,6.08,22.2,32.76,7724818041.0,166.22,173.96,0,0,-22.35,-11.32,Reversal,22.83,False
PLUG,139.54,2.34,6.08,22.2,32.76,7724818041.0,166.22,173.96,0,0,-22.35,-11.32,Reversal,22.83,False
INVA,445.64,2.03,5.39,22.8,45.23,1801748892.0,551.91,615.63,0,0,-31.14,-17.27,Reversal,22.61,False
KLC,104.77,3.42,4.56,11.1,31.91,668831001.0,122.65,126.82,0,0,-22.86,-10.28,Reversal,22.39,False
KLIC,104.77,3.42,4.56,11.1,31.91,668831001.0,122.65,126.82,0,0,-22.86,-10.28,Reversal,22.39,False
SNWV,418.98,2.4,4.81,21.4,35.71,1031794204.0,496.82,473.8,0,0,-17.65,-18.06,Reversal,21.47,False
SOC,418.98,2.4,4.81,21.4,35.71,1031794204.0,496.82,473.8,0,0,-17.65,-18.06,Reversal,21.47,False
