ticker,technical_score,technical_evidence,current_price,avg_dollar_volume_20d,asof_price_utc
BTSG,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.74, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.57, 'rsi14': 61.75, 'above_ma10_ma20_ma50': True, 'ma10': 36.99, 'ma20': 36.21, 'ma50': 34.26, 'realized_vol_5d_ann_pct': 19.05}",37.75,69272994.76797104,2025-12-26T00:00:00Z
KLAC,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.56, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.47, 'rsi14': 61.81, 'above_ma10_ma20_ma50': True, 'ma10': 1237.35, 'ma20': 1223.28, 'ma50': 1190.32, 'realized_vol_5d_ann_pct': 12.5}",1279.5999755859375,1001694413.8439941,2025-12-26T00:00:00Z
DAVE,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 19.98, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.6, 'rsi14': 64.34, 'above_ma10_ma20_ma50': True, 'ma10': 210.55, 'ma20': 207.47, 'ma50': 216.78, 'realized_vol_5d_ann_pct': 21.5}",229.22000122070312,74556209.84481812,2025-12-26T00:00:00Z
PTCT,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 10.22, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.37, 'rsi14': 54.47, 'above_ma10_ma20_ma50': True, 'ma10': 76.89, 'ma20': 77.17, 'ma50': 74.1, 'realized_vol_5d_ann_pct': 40.52}",78.55999755859375,105356412.75371552,2025-12-26T00:00:00Z
CTAS,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 16.62, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.43, 'rsi14': 59.12, 'above_ma10_ma20_ma50': True, 'ma10': 189.34, 'ma20': 187.25, 'ma50': 186.72, 'realized_vol_5d_ann_pct': 21.74}",191.13999938964844,378177860.48049927,2025-12-26T00:00:00Z
HAS,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.04, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.47, 'rsi14': 55.92, 'above_ma10_ma20_ma50': True, 'ma10': 81.56, 'ma20': 81.75, 'ma50': 79.08, 'realized_vol_5d_ann_pct': 10.0}",82.55999755859375,122827991.85218811,2025-12-26T00:00:00Z
CBRE,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.68, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.41, 'rsi14': 59.52, 'above_ma10_ma20_ma50': True, 'ma10': 161.89, 'ma20': 160.63, 'ma50': 157.62, 'realized_vol_5d_ann_pct': 10.84}",164.7100067138672,227035246.96411133,2025-12-26T00:00:00Z
L,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 2.44, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.52, 'rsi14': 63.07, 'above_ma10_ma20_ma50': True, 'ma10': 106.15, 'ma20': 105.32, 'ma50': 103.43, 'realized_vol_5d_ann_pct': 14.73}",106.4000015258789,90931918.2535553,2025-12-26T00:00:00Z
CDTX,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.18, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.33, 'rsi14': 55.91, 'above_ma10_ma20_ma50': True, 'ma10': 220.56, 'ma20': 220.36, 'ma50': 170.63, 'realized_vol_5d_ann_pct': 1.48}",220.8000030517578,209894660.6135559,2025-12-26T00:00:00Z
CSCO,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 3.29, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.62, 'rsi14': 50.91, 'above_ma10_ma20_ma50': True, 'ma10': 77.73, 'ma20': 77.93, 'ma50': 75.2, 'realized_vol_5d_ann_pct': 14.53}",78.16000366210938,1514138310.1742172,2025-12-26T00:00:00Z
IMNM,6.0,"{'within_5pct_52w_high': False, 'dist_to_52w_high_pct': 14.19, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.67, 'rsi14': 56.86, 'above_ma10_ma20_ma50': True, 'ma10': 21.47, 'ma20': 20.31, 'ma50': 18.17, 'realized_vol_5d_ann_pct': 63.94}",21.709999084472656,61522438.559389114,2025-12-26T00:00:00Z
TMO,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 4.95, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.34, 'rsi14': 55.75, 'above_ma10_ma20_ma50': True, 'ma10': 572.66, 'ma20': 574.77, 'ma50': 571.76, 'realized_vol_5d_ann_pct': 9.44}",580.739990234375,894201241.9708252,2025-12-26T00:00:00Z
RNA,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 0.66, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.36, 'rsi14': 62.89, 'above_ma10_ma20_ma50': True, 'ma10': 72.07, 'ma20': 71.78, 'ma50': 67.88, 'realized_vol_5d_ann_pct': 2.89}",72.12999725341797,164975440.4853058,2025-12-26T00:00:00Z
CMI,6.0,"{'within_5pct_52w_high': True, 'dist_to_52w_high_pct': 1.4, 'resistance_level': None, 'volume_ratio_3d_to_20d': 0.36, 'rsi14': 54.14, 'above_ma10_ma20_ma50': True, 'ma10': 511.97, 'ma20': 510.02, 'ma50': 473.75, 'realized_vol_5d_ann_pct': 18.12}",519.1199951171875,434312533.71658325,2025-12-26T00:00:00Z
