ticker,stage,reason
AAMI,filters,rvol 0.66 < 1.3
AAOI,filters,avg_vol_20d 641995 < 1000000
AAP,filters,avg_vol_20d 171843 < 1000000
AARD,filters,avg_vol_20d 3399 < 1000000
AAT,filters,price 3.39 < 8.0
ABAT,filters,avg_vol_20d 323863 < 1000000
ABCB,filters,avg_vol_20d 524743 < 1000000
ABEO,filters,avg_vol_20d 172348 < 1000000
ABG,filters,rvol 1.14 < 1.3
ABL,filters,rvol 0.58 < 1.3
ABM,filters,avg_vol_20d 60930 < 1000000
ABR,filters,avg_vol_20d 70630 < 1000000
ABSI,filters,price 2.38 < 8.0
ABTC,filters,price 1.09 < 8.0
ABUS,filters,avg_vol_20d 641995 < 1000000
ACA,filters,avg_vol_20d 169663 < 1000000
ACAD,filters,price 5.95 < 8.0
ACCO,filters,avg_vol_20d 178503 < 1000000
ACDC,filters,avg_vol_20d 94296 < 1000000
ACEL,filters,adv20 29313609 < 30000000
ACHR,filters,avg_vol_20d 626855 < 1000000
ACIC,filters,rvol 0.67 < 1.3
ACIW,filters,avg_vol_20d 10444 < 1000000
ACLS,filters,rvol 0.99 < 1.3
ACLX,filters,avg_vol_20d 184823 < 1000000
ACMR,filters,avg_vol_20d 269833 < 1000000
ACNB,filters,adv20 13053185 < 30000000
ACNT,filters,avg_vol_20d 666367 < 1000000
ACR,filters,price 3.09 < 8.0
ACRE,filters,avg_vol_20d 434404 < 1000000
ACRS,filters,price 3.99 < 8.0
ACT,filters,rvol 0.56 < 1.3
ACTG,filters,adv20 27544969 < 30000000
ACTU,filters,price 2.38 < 8.0
ACU,filters,price 5.45 < 8.0
ACVA,filters,rvol 0.90 < 1.3
ADAM,filters,price 2.93 < 8.0
ADCT,filters,rvol 0.91 < 1.3
ADEA,filters,price 1.92 < 8.0
ADMA,filters,rvol 1.16 < 1.3
ADNT,filters,avg_vol_20d 47664 < 1000000
ADPT,filters,price 5.84 < 8.0
ADTN,filters,avg_vol_20d 140397 < 1000000
