Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
GCMG,21.2,12.38,6.57,82.0,0.14,111423896.0,11.93,11.06,1,1,102.29,100.0,Breakout,42.95,False
RLGT,21.2,12.38,6.57,82.0,0.14,111423896.0,11.93,11.06,1,1,102.29,100.0,Breakout,42.95,False
JBI,16.95,2.11,6.96,72.5,3.86,53079175.0,12.8,11.68,1,1,41.84,52.15,Breakout,23.35,False
CARL,16.95,2.11,6.96,72.5,3.86,53079175.0,12.8,11.68,1,1,41.84,52.15,Breakout,23.35,False
TNGX,16.95,2.11,6.96,72.5,3.86,53079175.0,12.8,11.68,1,1,41.84,52.15,Breakout,23.35,False
SONO,16.95,2.11,6.96,72.5,3.86,53079175.0,12.8,11.68,1,1,41.84,52.15,Breakout,23.35,False
WEST,115.78,2.44,4.64,81.0,3.91,344798826.0,99.11,90.89,1,1,26.78,16.32,Breakout,20.34,False
NUS,11.76,1.38,5.37,67.3,5.16,97403655.0,10.73,9.5,1,1,22.5,0.86,Breakout,19.88,False
SKY,34.55,1.42,4.76,54.2,4.24,67860395.0,33.22,32.23,1,1,13.24,4.22,Breakout,19.01,False
INDI,67.11,1.63,4.41,76.2,2.57,431934971.0,58.18,52.39,1,1,24.55,16.67,Breakout,18.66,False
SB,180.54,1.64,3.57,66.3,1.54,516654685.0,172.23,160.66,1,1,9.56,3.71,Breakout,18.04,False
AMD,180.54,1.64,3.57,66.3,1.54,516654685.0,172.23,160.66,1,1,9.56,3.71,Breakout,18.04,False
MCB,180.54,1.64,3.57,66.3,1.54,516654685.0,172.23,160.66,1,1,9.56,3.71,Breakout,18.04,False
TNET,47.08,1.65,3.28,67.2,0.84,86996353.0,44.66,41.41,1,1,16.25,5.89,Breakout,17.62,False
GLNG,47.08,1.65,3.28,67.2,0.84,86996353.0,44.66,41.41,1,1,16.25,5.89,Breakout,17.62,False
