ticker,stage,reason
A,scoring,tech_score_below_min_6.5
AAMI,scoring,tech_score_below_min_6.5
AAOI,scoring,tech_score_below_min_6.5
AAP,scoring,tech_score_below_min_6.5
AAPL,scoring,tech_score_below_min_6.5
AARD,scoring,tech_score_below_min_6.5
AAT,scoring,tech_score_below_min_6.5
ABAT,scoring,tech_score_below_min_6.5
ABBV,filters,"$ADV20 $6,235,662 < $75,000,000"
ABCB,filters,"$ADV20 $6,235,662 < $75,000,000"
ABEO,filters,"$ADV20 $6,235,662 < $75,000,000"
ABG,filters,"$ADV20 $6,235,662 < $75,000,000"
ABL,filters,"$ADV20 $6,235,662 < $75,000,000"
ABM,filters,"$ADV20 $6,235,662 < $75,000,000"
ABNB,filters,"$ADV20 $3,590,209 < $75,000,000"
ABR,filters,"$ADV20 $48,189,845 < $75,000,000"
ABSI,filters,"$ADV20 $29,748,563 < $75,000,000"
ABT,filters,"$ADV20 $29,748,563 < $75,000,000"
ABTC,filters,"$ADV20 $29,748,563 < $75,000,000"
ABUS,filters,"$ADV20 $31,316,552 < $75,000,000"
ACA,filters,"$ADV20 $31,316,552 < $75,000,000"
ACAD,filters,"Price $4.16 < $5.00; $ADV20 $8,333,794 < $75,000,000"
ACCO,scoring,tech_score_below_min_6.5
ACDC,scoring,tech_score_below_min_6.5
ACEL,filters,"Price $4.18 < $5.00; $ADV20 $2,537,791 < $75,000,000"
ACGL,filters,"Price $4.18 < $5.00; $ADV20 $2,537,791 < $75,000,000"
ACHR,scoring,tech_score_below_min_6.5
ACIC,filters,"$ADV20 $4,039,065 < $75,000,000"
ACIW,scoring,tech_score_below_min_6.5
ACLS,scoring,tech_score_below_min_6.5
ACLX,scoring,tech_score_below_min_6.5
ACMR,scoring,tech_score_below_min_6.5
ACN,filters,"$ADV20 $54,068,277 < $75,000,000"
ACNB,filters,"$ADV20 $54,068,277 < $75,000,000"
ACNT,filters,"$ADV20 $54,068,277 < $75,000,000"
ACRS,filters,"$ADV20 $1,679,979 < $75,000,000"
ACT,filters,"$ADV20 $1,018,980 < $75,000,000"
ACTG,filters,"$ADV20 $1,018,980 < $75,000,000"
ACTU,filters,"$ADV20 $506,004 < $75,000,000"
ACU,filters,"Price $3.65 < $5.00; $ADV20 $13,010,805 < $75,000,000"
ACVA,filters,"Price $3.65 < $5.00; $ADV20 $13,010,805 < $75,000,000"
ADAM,filters,"$ADV20 $14,336,830 < $75,000,000"
ADBE,filters,"$ADV20 $19,299,418 < $75,000,000"
ADCT,filters,"Price $4.27 < $5.00; $ADV20 $327,987 < $75,000,000"
ADEA,filters,"Price $4.27 < $5.00; $ADV20 $327,987 < $75,000,000"
ADI,filters,"$ADV20 $19,299,418 < $75,000,000"
ADM,filters,"$ADV20 $19,299,418 < $75,000,000"
ADMA,filters,"$ADV20 $379,220 < $75,000,000"
ADNT,filters,"$ADV20 $5,314,539 < $75,000,000"
ADP,filters,"$ADV20 $5,314,539 < $75,000,000"
ADPT,filters,"$ADV20 $14,701,979 < $75,000,000"
ADSK,filters,"$ADV20 $14,701,979 < $75,000,000"
ADTN,scoring,tech_score_below_min_6.5
ADUS,filters,"$ADV20 $14,701,979 < $75,000,000"
AEIS,filters,"$ADV20 $11,503,652 < $75,000,000"
AES,filters,"$ADV20 $30,594,556 < $75,000,000"
AESI,filters,"$ADV20 $34,697,682 < $75,000,000"
AEVA,filters,"$ADV20 $34,697,682 < $75,000,000"
AEYE,filters,"$ADV20 $34,697,682 < $75,000,000"
AFCG,filters,"$ADV20 $34,697,682 < $75,000,000"
AFL,scoring,tech_score_below_min_6.5
AFRI,scoring,tech_score_below_min_6.5
AGIO,scoring,tech_score_below_min_6.5
AGL,scoring,tech_score_below_min_6.5
AGM,scoring,tech_score_below_min_6.5
AGX,scoring,tech_score_below_min_6.5
AGYS,filters,"$ADV20 $148,737 < $75,000,000"
AHCO,filters,"$ADV20 $148,737 < $75,000,000"
AHH,filters,"Price $0.45 < $5.00; $ADV20 $5,394,922 < $75,000,000"
AHL,filters,"$ADV20 $148,737 < $75,000,000"
AHR,filters,"Price $0.45 < $5.00; $ADV20 $5,394,922 < $75,000,000"
AI,filters,"$ADV20 $24,963,188 < $75,000,000"
AIG,filters,"$ADV20 $18,679,475 < $75,000,000"
AII,filters,"$ADV20 $18,679,475 < $75,000,000"
AIN,filters,"$ADV20 $18,679,475 < $75,000,000"
AIOT,filters,"$ADV20 $18,679,475 < $75,000,000"
AIP,filters,"$ADV20 $5,183,470 < $75,000,000"
AIR,scoring,tech_score_below_min_6.5
AIRJ,scoring,tech_score_below_min_6.5
AIRO,scoring,tech_score_below_min_6.5
AIRS,filters,"$ADV20 $2,540,758 < $75,000,000"
AISP,filters,"Price $4.17 < $5.00; $ADV20 $6,921,945 < $75,000,000"
AIV,filters,"$ADV20 $7,124,850 < $75,000,000"
AIZ,filters,"Price $3.32 < $5.00; $ADV20 $2,488,116 < $75,000,000"
AJG,filters,"Price $3.32 < $5.00; $ADV20 $2,488,116 < $75,000,000"
AKAM,filters,"$ADV20 $50,003,035 < $75,000,000"
AKBA,filters,"$ADV20 $50,003,035 < $75,000,000"
AKR,filters,"Price $2.17 < $5.00; $ADV20 $4,200,558 < $75,000,000"
ALAB,filters,"Price $1.51 < $5.00; $ADV20 $4,477,511 < $75,000,000"
ALB,filters,"Price $1.51 < $5.00; $ADV20 $4,477,511 < $75,000,000"
ALCO,filters,"Price $1.51 < $5.00; $ADV20 $4,477,511 < $75,000,000"
ALDX,scoring,tech_score_below_min_6.5
ALEC,scoring,tech_score_below_min_6.5
ALEX,scoring,tech_score_below_min_6.5
ALG,filters,5d return 15.4% > 15.0% (avoiding chased names)
ALGN,filters,"$ADV20 $26,674,558 < $75,000,000"
ALGT,filters,"$ADV20 $26,674,558 < $75,000,000"
ALH,scoring,tech_score_below_min_6.5
ALHC,filters,"$ADV20 $1,100,734 < $75,000,000"
ALIT,filters,"$ADV20 $13,063,404 < $75,000,000"
ALKS,filters,"$ADV20 $13,063,404 < $75,000,000"
ALKT,filters,"$ADV20 $13,063,404 < $75,000,000"
ALL,filters,"$ADV20 $20,180,568 < $75,000,000"
ALLE,filters,"$ADV20 $20,180,568 < $75,000,000"
ALLO,filters,"$ADV20 $20,180,568 < $75,000,000"
ALMS,filters,"$ADV20 $19,679,851 < $75,000,000"
ALMU,filters,"Price $1.51 < $5.00; $ADV20 $16,365,774 < $75,000,000"
ALNT,filters,"Price $1.51 < $5.00; $ADV20 $16,365,774 < $75,000,000"
ALRM,filters,"$ADV20 $38,662,925 < $75,000,000"
ALRS,filters,"$ADV20 $70,912,394 < $75,000,000"
ALT,filters,"Price $1.69 < $5.00; $ADV20 $10,997,750 < $75,000,000"
ALTG,scoring,tech_score_below_min_6.5
ALTI,scoring,tech_score_below_min_6.5
ALX,scoring,tech_score_below_min_6.5
AMAL,filters,"$ADV20 $19,647,582 < $75,000,000"
AMAT,filters,"$ADV20 $19,647,582 < $75,000,000"
AMBA,filters,"$ADV20 $7,371,028 < $75,000,000"
AMBP,filters,"$ADV20 $7,371,028 < $75,000,000"
AMBQ,filters,"$ADV20 $3,899,513 < $75,000,000"
AMC,filters,"$ADV20 $3,899,513 < $75,000,000"
AMCR,filters,"$ADV20 $28,644,520 < $75,000,000"
AMCX,filters,"$ADV20 $28,644,520 < $75,000,000"
AMD,filters,"$ADV20 $7,492,654 < $75,000,000"
AME,filters,"$ADV20 $7,492,654 < $75,000,000"
AMGN,filters,"$ADV20 $1,507,619 < $75,000,000"
AMLX,filters,"$ADV20 $53,848,018 < $75,000,000"
AMN,filters,"Price $1.33 < $5.00; $ADV20 $67,562,125 < $75,000,000"
AMP,filters,"Price $1.33 < $5.00; $ADV20 $67,562,125 < $75,000,000"
AMPH,filters,"$ADV20 $11,673,523 < $75,000,000"
AMPL,filters,"$ADV20 $11,673,523 < $75,000,000"
AMPX,scoring,tech_score_below_min_6.5
AMR,filters,"$ADV20 $8,771,270 < $75,000,000"
AMRC,scoring,tech_score_below_min_6.5
AMRX,filters,"$ADV20 $24,890,732 < $75,000,000"
AMSC,filters,"$ADV20 $24,890,732 < $75,000,000"
AMSF,filters,"$ADV20 $29,324,369 < $75,000,000"
AMT,scoring,tech_score_below_min_6.5
AMTB,scoring,tech_score_below_min_6.5
AMWD,scoring,tech_score_below_min_6.5
AMZN,scoring,tech_score_below_min_6.5
ANAB,scoring,tech_score_below_min_6.5
ANDE,filters,"$ADV20 $18,042,327 < $75,000,000"
ANET,filters,"$ADV20 $58,476,194 < $75,000,000"
ANF,filters,"$ADV20 $58,476,194 < $75,000,000"
ANGI,scoring,tech_score_below_min_6.5
ANGO,filters,"$ADV20 $18,803,549 < $75,000,000"
ANIK,filters,"$ADV20 $10,461,353 < $75,000,000"
ANIP,filters,"$ADV20 $10,461,353 < $75,000,000"
ANNX,filters,"$ADV20 $10,461,353 < $75,000,000"
AOMR,scoring,tech_score_below_min_6.5
AON,filters,"$ADV20 $5,598,970 < $75,000,000"
AORT,filters,"$ADV20 $38,039,408 < $75,000,000"
AOS,filters,"$ADV20 $38,039,408 < $75,000,000"
AOSL,filters,"$ADV20 $38,039,408 < $75,000,000"
AOUT,filters,"$ADV20 $613,149 < $75,000,000"
APA,filters,"$ADV20 $613,149 < $75,000,000"
APAM,filters,"$ADV20 $13,519,632 < $75,000,000"
APD,scoring,tech_score_below_min_6.5
APEI,scoring,tech_score_below_min_6.5
APGE,filters,"$ADV20 $74,470,742 < $75,000,000"
APH,filters,"$ADV20 $74,470,742 < $75,000,000"
APLD,filters,"$ADV20 $74,470,742 < $75,000,000"
APLE,filters,"$ADV20 $74,470,742 < $75,000,000"
APO,filters,"$ADV20 $74,470,742 < $75,000,000"
APOG,scoring,tech_score_below_min_6.5
APP,filters,"$ADV20 $30,202,557 < $75,000,000"
APPN,filters,"$ADV20 $10,194,535 < $75,000,000"
APPS,filters,"$ADV20 $10,194,535 < $75,000,000"
APTV,filters,"$ADV20 $32,921,741 < $75,000,000"
AQST,filters,"Price $4.67 < $5.00; $ADV20 $20,177,984 < $75,000,000"
ARAY,filters,"Price $0.55 < $5.00; $ADV20 $635,552 < $75,000,000"
ARCB,filters,"Price $0.55 < $5.00; $ADV20 $635,552 < $75,000,000"
ARCT,filters,"Price $0.55 < $5.00; $ADV20 $635,552 < $75,000,000"
ARDT,filters,"Price $0.55 < $5.00; $ADV20 $635,552 < $75,000,000"
ARDX,filters,"$ADV20 $3,590,486 < $75,000,000"
ARE,filters,"$ADV20 $41,626,237 < $75,000,000"
AREN,filters,"$ADV20 $32,045,300 < $75,000,000"
ARES,filters,"$ADV20 $32,045,300 < $75,000,000"
ARHS,filters,"Price $3.38 < $5.00; $ADV20 $227,484 < $75,000,000"
ARI,filters,"Price $3.38 < $5.00; $ADV20 $227,484 < $75,000,000"
ARKO,filters,"Price $3.38 < $5.00; $ADV20 $227,484 < $75,000,000"
ARL,scoring,tech_score_below_min_6.5
ARLO,filters,"$ADV20 $10,210,958 < $75,000,000"
AROC,filters,"$ADV20 $33,741 < $75,000,000"
AROW,filters,"$ADV20 $33,741 < $75,000,000"
ARQ,filters,"Price $3.85 < $5.00; $ADV20 $1,086,812 < $75,000,000"
ARQT,filters,"Price $3.85 < $5.00; $ADV20 $1,086,812 < $75,000,000"
ARR,filters,"Price $3.85 < $5.00; $ADV20 $1,086,812 < $75,000,000"
ARRY,filters,"$ADV20 $47,624,394 < $75,000,000"
ARVN,filters,"$ADV20 $33,174,872 < $75,000,000"
ARWR,filters,"$ADV20 $2,959,842 < $75,000,000"
ASAN,filters,"$ADV20 $2,959,842 < $75,000,000"
ASB,scoring,tech_score_below_min_6.5
ASC,scoring,tech_score_below_min_6.5
ASGN,filters,"$ADV20 $67,312,483 < $75,000,000"
ASIC,filters,"$ADV20 $67,312,483 < $75,000,000"
ASIX,filters,"$ADV20 $67,312,483 < $75,000,000"
ASLE,filters,"$ADV20 $67,312,483 < $75,000,000"
ASO,filters,"$ADV20 $31,009,160 < $75,000,000"
ASPI,filters,"$ADV20 $1,661,441 < $75,000,000"
ASPN,filters,"$ADV20 $1,661,441 < $75,000,000"
ASTE,filters,"$ADV20 $1,661,441 < $75,000,000"
ASTH,filters,"$ADV20 $44,218,122 < $75,000,000"
ASTI,filters,"$ADV20 $26,350,474 < $75,000,000"
ASTS,filters,"$ADV20 $26,350,474 < $75,000,000"
ASUR,scoring,tech_score_below_min_6.5
ATEC,filters,"$ADV20 $763,130 < $75,000,000"
ATEN,filters,"$ADV20 $57,823,379 < $75,000,000"
ATEX,filters,"$ADV20 $57,823,379 < $75,000,000"
ATGE,filters,"$ADV20 $57,823,379 < $75,000,000"
ATKR,filters,"$ADV20 $15,405,224 < $75,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
ATLC,filters,"$ADV20 $15,405,224 < $75,000,000; 5d return 21.1% > 15.0% (avoiding chased names)"
ATLO,filters,"$ADV20 $3,858,835 < $75,000,000"
ATMU,filters,"$ADV20 $934,430 < $75,000,000"
ATNI,filters,"$ADV20 $934,430 < $75,000,000"
ATO,filters,"$ADV20 $934,430 < $75,000,000"
ATOM,filters,"$ADV20 $934,430 < $75,000,000"
ATRC,filters,"$ADV20 $934,430 < $75,000,000"
ATRO,filters,"$ADV20 $934,430 < $75,000,000"
ATXS,filters,"$ADV20 $19,830,250 < $75,000,000"
ATYR,filters,"$ADV20 $19,830,250 < $75,000,000"
AUB,filters,"$ADV20 $19,830,250 < $75,000,000"
AUPH,scoring,tech_score_below_min_6.5
AURA,filters,"$ADV20 $47,909,906 < $75,000,000"
AVA,filters,"$ADV20 $47,909,906 < $75,000,000"
AVAH,filters,"$ADV20 $47,909,906 < $75,000,000"
AVAV,filters,"$ADV20 $47,909,906 < $75,000,000"
AVB,filters,"$ADV20 $47,909,906 < $75,000,000"
AVBH,filters,"$ADV20 $1,014,646 < $75,000,000"
AVBP,filters,"$ADV20 $26,117,661 < $75,000,000"
AVD,filters,"$ADV20 $9,714,690 < $75,000,000"
AVDL,scoring,tech_score_below_min_6.5
AVGO,filters,"$ADV20 $30,699,624 < $75,000,000"
AVIR,filters,"$ADV20 $30,699,624 < $75,000,000"
AVNS,filters,"$ADV20 $30,699,624 < $75,000,000"
AVNT,filters,"$ADV20 $30,699,624 < $75,000,000"
AVNW,filters,"$ADV20 $30,699,624 < $75,000,000"
AVO,scoring,tech_score_below_min_6.5
AVPT,filters,"Price $4.16 < $5.00; $ADV20 $2,210,589 < $75,000,000"
AVR,filters,"$ADV20 $14,770,150 < $75,000,000"
AVXL,filters,"$ADV20 $14,770,150 < $75,000,000"
AVY,filters,"$ADV20 $14,770,150 < $75,000,000"
AWK,filters,"$ADV20 $14,770,150 < $75,000,000"
AWR,filters,"$ADV20 $13,224,848 < $75,000,000"
AX,filters,"$ADV20 $13,224,848 < $75,000,000"
AXON,filters,"$ADV20 $34,478,787 < $75,000,000"
AXP,filters,"$ADV20 $34,478,787 < $75,000,000"
AXSM,filters,"$ADV20 $34,478,787 < $75,000,000"
AZO,scoring,tech_score_below_min_6.5
AZTA,scoring,tech_score_below_min_6.5
AZZ,filters,"$ADV20 $31,068,386 < $75,000,000"
BA,filters,"$ADV20 $31,068,386 < $75,000,000"
