Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
EBC,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
EBMT,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
EBS,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
EBF,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
ECBK,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
ECVT,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
ECPG,164.32,2.39,8.17,32.2,63.05,2429790530.0,189.97,226.76,0,0,-31.33,-0.48,Reversal,27.3,False
INR,212.67,2.03,7.34,26.3,30.0,743847404.0,254.32,271.99,0,0,-27.73,-10.21,Reversal,23.83,False
MED,224.45,1.99,4.71,83.2,2.06,270833521.0,179.69,162.41,1,1,39.04,22.3,Breakout,21.45,False
FFAI,66.55,1.82,4.99,15.2,23.53,546526761.0,78.92,81.78,0,0,-21.54,-13.66,Reversal,19.04,False
FFIC,66.55,1.82,4.99,15.2,23.53,546526761.0,78.92,81.78,0,0,-21.54,-13.66,Reversal,19.04,False
FFBC,66.55,1.82,4.99,15.2,23.53,546526761.0,78.92,81.78,0,0,-21.54,-13.66,Reversal,19.04,False
FFIN,66.55,1.82,4.99,15.2,23.53,546526761.0,78.92,81.78,0,0,-21.54,-13.66,Reversal,19.04,False
ABR,121.35,2.19,3.78,32.3,15.66,629873722.0,126.96,130.5,0,0,-8.48,-0.68,Reversal,17.52,False
