Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
PTGX,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PTLO,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PTON,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PUBM,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PUMP,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PVLA,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
PWP,89.91,2.56,5.76,11.1,41.56,2503702046.0,110.01,117.06,0,0,-21.96,-15.97,Reversal,23.39,False
SLSN,202.4,2.29,4.55,27.1,55.31,243127050.0,232.26,236.28,0,0,-14.61,-14.45,Reversal,22.26,False
