Date,N,Hit Rate +10%,Avg Return,Avg Max Return,Win Rate
2025-11-17,3,33.33333333333333,6.703333333333333,8.526666666666666,66.66666666666666
2025-11-19,2,50.0,1.0600000000000005,9.505,50.0
2025-11-20,1,100.0,9.81,19.9,100.0
2025-11-21,6,16.666666666666664,8.053333333333333,10.746666666666668,100.0
2025-11-24,8,37.5,6.295000000000001,14.057500000000001,75.0
2025-11-25,1,100.0,2.81,12.49,100.0
2025-11-27,7,28.57142857142857,5.785714285714286,8.937142857142858,71.42857142857143
2025-11-28,5,20.0,5.340000000000001,7.107999999999999,80.0
2025-12-01,6,33.33333333333333,1.8316666666666668,5.905,50.0
2025-12-02,6,33.33333333333333,8.538333333333334,11.205,83.33333333333334
2025-12-03,7,42.857142857142854,5.855714285714286,11.364285714285712,85.71428571428571
2025-12-04,7,42.857142857142854,-2.1571428571428575,8.477142857142857,28.57142857142857
2025-12-05,9,44.44444444444444,2.7877777777777775,11.993333333333332,55.55555555555556
2025-12-08,8,37.5,-5.2325,8.442499999999999,37.5
2025-12-09,7,28.57142857142857,-7.378571428571428,5.487142857142857,14.285714285714285
2025-12-10,5,40.0,3.25,6.498,60.0
2025-12-30,1,100.0,10.6,10.65,100.0
2025-12-31,6,83.33333333333334,19.796666666666667,23.033333333333335,100.0
2026-01-01,6,83.33333333333334,5.366666666666666,12.276666666666666,83.33333333333334
2026-01-02,2,50.0,2.8400000000000003,9.765,100.0
2026-01-03,6,50.0,7.543333333333333,9.098333333333333,100.0
2026-01-05,5,40.0,3.154,6.628,100.0
2026-01-06,8,25.0,-0.24124999999999996,4.94375,37.5
2026-01-07,7,14.285714285714285,3.1228571428571428,6.808571428571428,71.42857142857143
2026-01-08,5,0.0,-3.076,3.5940000000000003,40.0
2026-01-09,12,8.333333333333332,1.2325,4.6625000000000005,66.66666666666666
2026-01-12,7,14.285714285714285,0.5514285714285715,2.707142857142857,42.857142857142854
2026-01-13,2,0.0,0.6599999999999999,4.51,50.0
